Task Title,Stage,Description,Vendor,Status,Focal Role,Due Date,Completed On,Sequence,Notes
Vendor Registration and Company Information,Onboarding,"Vendor completes registration with legal entity details, ownership, tax identifiers and banking information.",Silverline Cyber,Complete,Vendor,2025-04-25,2025-04-22T13:55:00Z,2,
"Mandatory Document Submission (Schedule 10, NDA)",Onboarding,"Vendor submits the signed Schedule 10 declaration, mutual NDA and insurance certificates for review by the contract owner.",Silverline Cyber,Complete,Vendor,2025-05-09,2025-05-08T09:40:00Z,3,
Background Check and ITSCP Attestation,Onboarding,"Risk team runs sanctions and adverse media screening and records the vendor's IT security control programme attestation.",Silverline Cyber,Complete,Risk Team,2025-05-30,2025-05-28T15:10:00Z,4,IRAP assessment accepted in place of the standard ITSCP questionnaire.
Contract Delivery Log Creation,Onboarding,"Create the Contract Delivery Log for the engagement and pre-populate the Schedule 10 and NDA line items.",Silverline Cyber,Complete,Contract Owner,2025-06-13,2025-06-12T10:05:00Z,5,
System Access Provisioning,Onboarding,"Raise the access request for the vendor team, covering network access, collaboration tools and any application-level roles required.",Silverline Cyber,Complete,MyAccess,2025-06-27,2025-06-26T08:30:00Z,6,Time-boxed privileged access granted for the testing window only.
Supplier Master and Payment Setup,Onboarding,"Finance creates the supplier master record, validates bank details through the callback process and confirms payment terms.",Silverline Cyber,Complete,Finance,2025-07-11,2025-07-10T14:25:00Z,7,
Contract End Notification,Offboarding,"Contract owner issues formal written notice of contract expiry or termination and records the effective end date.",Vertex Fintech Solutions,Complete,Contract Owner,2026-05-29,2026-05-27T09:15:00Z,1,Proof of concept closed as planned; production adoption deferred to the next budget cycle.
Final Deliverable Acceptance,Offboarding,"Business owner confirms all contracted deliverables have been received and formally accepted, or records the shortfall.",Vertex Fintech Solutions,Complete,User,2026-06-26,2026-06-26T17:40:00Z,2,All four PoC deliverables accepted including the connector test report.
Knowledge Transfer and Handover,Offboarding,"Vendor hands over documentation, source artefacts, credentials and any operational runbooks to the named internal owner.",Vertex Fintech Solutions,Complete,Vendor,2026-07-03,2026-07-02T11:05:00Z,3,
Asset and Equipment Return,Offboarding,"Confirm the return of all issued assets, including laptops, tokens and access cards, and record any write-offs.",Vertex Fintech Solutions,Complete,Vendor,2026-07-10,2026-07-09T10:20:00Z,4,Two access tokens returned; no hardware was issued.
System Access Revocation,Offboarding,"Revoke all vendor accounts, network access and application roles, and confirm removal in the access register.",Vertex Fintech Solutions,Complete,MyAccess,2026-07-17,2026-07-16T08:50:00Z,5,
Data Destruction Certificate,Offboarding,"Vendor certifies the destruction or return of all BrandName data held in its environments, with scope and method stated.",Vertex Fintech Solutions,In Progress,Vendor,2026-08-07,,6,Draft certificate received; scope statement does not yet cover the sandbox environment.
Outstanding Invoice Reconciliation,Offboarding,"Finance reconciles all submitted invoices against the contract value and identifies any amounts in dispute.",Vertex Fintech Solutions,Not Started,Finance,2026-08-14,,7,
Vendor Performance Evaluation,Offboarding,"Vendor manager completes the end-of-contract performance evaluation covering delivery, quality and responsiveness.",Vertex Fintech Solutions,Not Started,VM,2026-08-21,,8,
Final Billing Release and Supplier Master Deactivation,Offboarding,"Release final payment once the checklist is complete, then deactivate the supplier master record.",Vertex Fintech Solutions,Not Started,CSPC Buyer,2026-08-28,,9,Final payment is gated on the data destruction certificate being accepted.
Contract End Notification,Offboarding,"Contract owner issues formal written notice of contract expiry or termination and records the effective end date.",Pacific Rim Networks,Complete,Contract Owner,2026-07-10,2026-07-08T14:30:00Z,1,Managed services contract expires 2026-09-30; offboarding started ahead of expiry to allow a clean transition.
Final Deliverable Acceptance,Offboarding,"Business owner confirms all contracted deliverables have been received and formally accepted, or records the shortfall.",Pacific Rim Networks,In Progress,User,2026-08-14,,2,Reviewing the final two resident mission handover packs.
Knowledge Transfer and Handover,Offboarding,"Vendor hands over documentation, source artefacts, credentials and any operational runbooks to the named internal owner.",Pacific Rim Networks,Not Started,Vendor,2026-08-28,,3,Largest item in this offboarding - 18 site runbooks and the monitoring configuration.
Asset and Equipment Return,Offboarding,"Confirm the return of all issued assets, including laptops, tokens and access cards, and record any write-offs.",Pacific Rim Networks,N/A,Vendor,,,4,All engineering was performed on vendor-owned equipment; no BrandName assets were issued.
System Access Revocation,Offboarding,"Revoke all vendor accounts, network access and application roles, and confirm removal in the access register.",Pacific Rim Networks,Not Started,MyAccess,2026-09-11,,5,
Data Destruction Certificate,Offboarding,"Vendor certifies the destruction or return of all BrandName data held in its environments, with scope and method stated.",Pacific Rim Networks,Not Started,Vendor,2026-09-18,,6,
Outstanding Invoice Reconciliation,Offboarding,"Finance reconciles all submitted invoices against the contract value and identifies any amounts in dispute.",Pacific Rim Networks,Not Started,Finance,2026-09-25,,7,
Vendor Performance Evaluation,Offboarding,"Vendor manager completes the end-of-contract performance evaluation covering delivery, quality and responsiveness.",Pacific Rim Networks,Not Started,VM,2026-10-02,,8,
Final Billing Release and Supplier Master Deactivation,Offboarding,"Release final payment once the checklist is complete, then deactivate the supplier master record.",Pacific Rim Networks,Not Started,CSPC Buyer,2026-10-09,,9,
