"new_businessunit","new_deliveryprojectname","new_enddate","new_engagement1id","new_headcount","importsequencenumber","new_iscasestudy","new_outcomesummary","new_startdate","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","new_vendor"
"Office of Risk Management","Third-Party Audit Readiness Review","","fc3a9878-638a-f111-8076-6045bd55bd50","7","2","False","Ongoing readiness review ahead of the annual third-party risk audit; two of four departments reviewed so far.","2026-04-01 00:00:00.0000000","1","0","4","","4341950","4b0e47bf-c36d-f111-ab0d-6045bd56e224","536274ff-c522-4f18-9166-6891ff527adb"
"Procurement Division","Vendor Risk Framework Redesign","2026-02-13 00:00:00.0000000","fa3a9878-638a-f111-8076-6045bd55bd50","8","2","False","Advisory engagement redesigning the vendor risk tiering framework; new framework adopted for all new onboarding from Q1.","2025-08-04 00:00:00.0000000","1","0","4","","4341949","4b0e47bf-c36d-f111-ab0d-6045bd56e224","536274ff-c522-4f18-9166-6891ff527adb"
"","Semiconductor Yield Analytics","2025-12-05 00:00:00.0000000","f83a9878-638a-f111-8076-6045bd55bd50","20","2","True","Case study: deployed yield analytics for a Japanese semiconductor fab, flagging process drift an average of six hours earlier than the prior method.","2024-11-18 00:00:00.0000000","1","0","4","","4341948","4b0e47bf-c36d-f111-ab0d-6045bd56e224","ff685395-2b15-4523-a791-fb3d8eb5bd82"
"","Automotive Supplier Quality Portal","2026-04-17 00:00:00.0000000","f63a9878-638a-f111-8076-6045bd55bd50","17","2","True","Case study: built a supplier quality collaboration portal for a German automotive tier-1, reducing defect escalation time from days to hours.","2025-05-06 00:00:00.0000000","1","0","4","","4341947","4b0e47bf-c36d-f111-ab0d-6045bd56e224","9a3e44c2-bfc1-4022-8c95-b83d2f292488"
"","Warehouse Management System Rollout","2025-10-30 00:00:00.0000000","f33a9878-638a-f111-8076-6045bd55bd50","27","2","True","Case study: rolled out a WMS across four distribution centres for a Belgian logistics group, cutting pick-pack cycle time by 22%.","2024-08-12 00:00:00.0000000","1","0","4","","4341946","4b0e47bf-c36d-f111-ab0d-6045bd56e224","9a3e44c2-bfc1-4022-8c95-b83d2f292488"
"Information Technology Department","Security Operations Centre Uplift","","f13a9878-638a-f111-8076-6045bd55bd50","9","2","True","Ongoing SOC uplift adding after-hours coverage and automated triage; alert backlog reduced by half in the first quarter.","2026-01-20 00:00:00.0000000","1","0","4","","4341945","4b0e47bf-c36d-f111-ab0d-6045bd56e224","3d9afe86-e806-405b-ad54-c1e6842cbc02"
"Information Technology Department","External Attack Surface Assessment","2026-01-09 00:00:00.0000000","ef3a9878-638a-f111-8076-6045bd55bd50","4","2","False","One-time assessment of internet-facing assets, identifying 31 exposed endpoints and a remediation plan accepted by security leadership.","2025-10-01 00:00:00.0000000","1","0","4","","4341944","4b0e47bf-c36d-f111-ab0d-6045bd56e224","3d9afe86-e806-405b-ad54-c1e6842cbc02"
"Strategy, Policy & Partnerships Department","Grants Analytics Dashboard Refresh","","ed3a9878-638a-f111-8076-6045bd55bd50","15","2","False","Ongoing refresh of the grants analytics dashboards onto the lakehouse platform; two of five dashboards migrated so far.","2026-03-01 00:00:00.0000000","1","0","4","","4341943","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c26d66dc-8a20-4873-8e5f-c0fdc0072e04"
"Controller's Department","Finance Data Mart Consolidation","2024-10-02 00:00:00.0000000","eb3a9878-638a-f111-8076-6045bd55bd50","24","2","False","Consolidated five finance data marts into the enterprise lakehouse, retiring duplicate month-end reporting pipelines.","2023-04-10 00:00:00.0000000","1","0","4","","4341942","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c26d66dc-8a20-4873-8e5f-c0fdc0072e04"
"Information Technology Department","24x7 Managed Cloud Operations (Wave 2)","","e93a9878-638a-f111-8076-6045bd55bd50","18","2","False","Ongoing extension of managed operations to the second migration wave, maintaining the existing availability SLA.","2025-12-01 00:00:00.0000000","1","0","4","","4341941","4b0e47bf-c36d-f111-ab0d-6045bd56e224","0e6bcf5f-3245-49c0-b91e-38452571a7de"
"Information Technology Department","Regional Data Centre Exit to Azure","2025-11-15 00:00:00.0000000","e73a9878-638a-f111-8076-6045bd55bd50","30","2","True","Decommissioned two regional data centres and migrated the remaining 28 workloads to Azure ahead of the lease expiry.","2024-09-01 00:00:00.0000000","1","0","4","","4341940","4b0e47bf-c36d-f111-ab0d-6045bd56e224","0e6bcf5f-3245-49c0-b91e-38452571a7de"
"Legal Department","Contract Metadata Extraction Pilot","2026-05-20 00:00:00.0000000","e53a9878-638a-f111-8076-6045bd55bd50","6","2","True","Piloted clause and metadata extraction across 3,000 vendor contracts to seed the new contract repository.","2026-01-12 00:00:00.0000000","1","0","4","","4341939","4b0e47bf-c36d-f111-ab0d-6045bd56e224","8d66e83a-7774-42de-9fa2-49414c96244d"
