new_aiextracted,new_country,new_hasactivecontract,new_headcount,new_headquarterslocation,importsequencenumber,new_industry,new_legalname,new_overview,new_source,new_sourcecitations,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,new_vendorid,new_vendorname,new_vendorstatus,versionnumber,new_websitedomain,owningbusinessunit,new_businessdomains,new_capabilities,new_regionaloperatingcapacity
True,United Arab Emirates,False,430,Dubai,,Information Technology,Sahara Tech Partners LLC,Gulf-region systems integrator with data-residency-compliant cloud and security operations offerings.,External Discovery,"[""https://saharatechpartners.ae/services"",""https://www.linkedin.com/company/sahara-tech-partners""]",1,0,,,02369b9b-dea5-4132-9b95-f8176088cc7f,Sahara Tech Partners,Registered,4302949,https://saharatechpartners.ae,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Healthcare;Retail & Consumer,Managed Services;RPA;Document Intelligence,Philippines;Singapore
False,Singapore,False,175,Singapore,,Financial Technology,Vertex Fintech Solutions Pte Ltd,Payments and open-banking API specialist with pre-built connectors for regional clearing networks.,Internal Catalogue,,1,0,,,47d221d9-98d4-40d9-a9b5-dcbbc0d00c3d,Vertex Fintech Solutions,Existing,4302942,https://vertexfintech.sg,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Education,Application Development;DevOps Automation,Indonesia;Singapore
False,United States,True,2100,Seattle,,Telecommunications,Pacific Rim Networks Inc,"Network integrator and managed service provider covering trans-Pacific connectivity, SD-WAN and edge infrastructure.",Internal Catalogue,,1,0,,,4474ff98-14d5-481e-a5f6-ce16851a7df5,Pacific Rim Networks,Existing,4302935,https://pacificrimnetworks.com,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing;Transport & Logistics,Test Automation;Application Development;Integration & APIs,Vietnam;Singapore;Japan
False,United Kingdom,False,1200,London,,Consulting,Lionheart Consulting Ltd,Advisory and delivery consultancy focused on regulatory change programmes for banks and government agencies.,Manual Registration,,1,0,,,536274ff-c522-4f18-9166-6891ff527adb,Lionheart Consulting,Existing,4302928,https://lionheartconsulting.co.uk,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Telecommunications,Machine Learning;Conversational AI;Document Intelligence,South Korea;Japan
True,Japan,False,505,Tokyo,,Information Technology,Kaizen Digital Kabushiki Kaisha,Tokyo-based digital engineering house known for continuous-improvement delivery methods and factory floor automation.,External Discovery,"[""https://kaizendigital.co.jp/en/about"",""https://www.gartner.com/reviews/market/it-services-japan""]",1,0,,,ff685395-2b15-4523-a791-fb3d8eb5bd82,Kaizen Digital KK,Potential,4302921,https://kaizendigital.co.jp,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Energy & Utilities;Transport & Logistics,Data Engineering;Business Intelligence;Machine Learning,Netherlands;Belgium;Germany
True,Germany,False,880,Hamburg,,Professional Services,Hanseatic Systems GmbH,SAP S/4HANA implementation specialist serving industrial manufacturers across the DACH region.,External Discovery,"[""https://www.hanseatic-systems.de/company"",""https://www.linkedin.com/company/hanseatic-systems""]",1,0,,,9a3e44c2-bfc1-4022-8c95-b83d2f292488,Hanseatic Systems GmbH,Registered,4302914,https://hanseatic-systems.de,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Healthcare,ERP Implementation;Managed Services;Change Management,Canada;United States
False,Australia,False,320,Sydney,,Cybersecurity,Silverline Cyber Pty Ltd,Australian-owned security services firm operating a sovereign SOC staffed by government-cleared analysts.,Manual Registration,,1,0,,,3d9afe86-e806-405b-ad54-c1e6842cbc02,Silverline Cyber,Registered,4302907,https://silverlinecyber.com.au,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services,Data Governance;Change Management;Business Intelligence,Hong Kong SAR;Singapore;China
False,India,True,1450,Bengaluru,,Information Technology,Meridian Data Labs Pvt Ltd,Large-scale data platform builder with lakehouse and governance practices; multiple long-running BrandName analytics engagements.,Internal Catalogue,,1,0,,,c26d66dc-8a20-4873-8e5f-c0fdc0072e04,Meridian Data Labs,Registered,4302900,https://meridiandatalabs.in,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing;Retail & Consumer,Integration & APIs;Network Infrastructure;Managed Services,Thailand;Vietnam;Myanmar
False,Malaysia,True,610,Kuala Lumpur,,Information Technology,Northwind Cloud Services Sdn Bhd,Regional Azure and AWS migration partner running 24x7 managed cloud operations from Kuala Lumpur and Penang.,Internal Catalogue,,1,0,,,0e6bcf5f-3245-49c0-b91e-38452571a7de,Northwind Cloud Services,Registered,4302892,https://northwindcloud.my,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Aviation;Manufacturing,Application Development;Site Reliability Engineering;DevOps Automation,France;Spain;Germany
False,Singapore,False,240,Singapore,,Information Technology,Acme Technologies Pte Ltd,"Boutique document AI firm specialising in intelligent document processing for regulated industries, with its primary delivery hub in Singapore.",Internal Catalogue,,1,0,,,8d66e83a-7774-42de-9fa2-49414c96244d,Acme Technologies,Potential,4302884,https://acmetech.com,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Healthcare;Financial Services,Cloud Migration;Identity & Access Management;Cybersecurity Operations,Ireland;United Kingdom
