"new_certificationid","new_certificationname","new_dateearned","new_document","new_expirydate","importsequencenumber","new_issuer","new_referencenumber","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","new_vendor"
"7c8a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2025-02-17 00:00:00.0000000","","2028-02-16 00:00:00.0000000","4","DNV","AE-ISMS-2025-6620","1","0","4","","4353356","4b0e47bf-c36d-f111-ab0d-6045bd56e224","02369b9b-dea5-4132-9b95-f8176088cc7f"
"7a8a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2025-09-12 00:00:00.0000000","","2028-09-11 00:00:00.0000000","4","TUV SUD PSB","SG-ISMS-2025-4471","1","0","4","","4353355","4b0e47bf-c36d-f111-ab0d-6045bd56e224","47d221d9-98d4-40d9-a9b5-dcbbc0d00c3d"
"788a4dbf-708a-f111-8077-7ced8dfed52e","PCI DSS Level 1 Service Provider","2026-03-01 00:00:00.0000000","","2027-02-28 00:00:00.0000000","4","ControlCase","PCI-L1-SG-2026-0217","1","0","4","","4353354","4b0e47bf-c36d-f111-ab0d-6045bd56e224","47d221d9-98d4-40d9-a9b5-dcbbc0d00c3d"
"768a4dbf-708a-f111-8077-7ced8dfed52e","ISO 22301:2019","2025-04-11 00:00:00.0000000","","2028-04-10 00:00:00.0000000","4","BSI Group Americas","US-BCMS-2025-0669","1","0","4","","4353353","4b0e47bf-c36d-f111-ab0d-6045bd56e224","4474ff98-14d5-481e-a5f6-ce16851a7df5"
"748a4dbf-708a-f111-8077-7ced8dfed52e","Cisco Gold Provider","2026-02-01 00:00:00.0000000","","2027-01-31 00:00:00.0000000","4","Cisco Systems","CGP-2026-US-5521","1","0","4","","4353352","4b0e47bf-c36d-f111-ab0d-6045bd56e224","4474ff98-14d5-481e-a5f6-ce16851a7df5"
"728a4dbf-708a-f111-8077-7ced8dfed52e","SOC 2 Type II","2025-10-20 00:00:00.0000000","","2026-10-19 00:00:00.0000000","4","Schellman & Company","SOC2-2025-PRN-027","1","0","4","","4353351","4b0e47bf-c36d-f111-ab0d-6045bd56e224","4474ff98-14d5-481e-a5f6-ce16851a7df5"
"708a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2024-06-14 00:00:00.0000000","","2027-06-13 00:00:00.0000000","4","Schellman & Company","US-ISMS-2024-1188","1","0","4","","4353350","4b0e47bf-c36d-f111-ab0d-6045bd56e224","4474ff98-14d5-481e-a5f6-ce16851a7df5"
"6e8a4dbf-708a-f111-8077-7ced8dfed52e","ISO 9001:2015","2024-08-08 00:00:00.0000000","","2027-08-07 00:00:00.0000000","4","BSI Group","UK-QMS-2024-3345","1","0","4","","4353349","4b0e47bf-c36d-f111-ab0d-6045bd56e224","536274ff-c522-4f18-9166-6891ff527adb"
"6c8a4dbf-708a-f111-8077-7ced8dfed52e","Cyber Essentials Plus","2025-06-30 00:00:00.0000000","","2026-06-29 00:00:00.0000000","4","IASME Consortium","CEP-2025-UK-40118","1","0","4","","4353348","4b0e47bf-c36d-f111-ab0d-6045bd56e224","536274ff-c522-4f18-9166-6891ff527adb"
"6a8a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2025-01-20 00:00:00.0000000","","2028-01-19 00:00:00.0000000","4","BSI Group","UK-ISMS-2025-9903","1","0","4","","4353347","4b0e47bf-c36d-f111-ab0d-6045bd56e224","536274ff-c522-4f18-9166-6891ff527adb"
"688a4dbf-708a-f111-8077-7ced8dfed52e","ISTQB Partner Programme - Gold","2025-07-01 00:00:00.0000000","","2027-06-30 00:00:00.0000000","4","ISTQB","ISTQB-GOLD-JP-0731","1","0","4","","4353346","4b0e47bf-c36d-f111-ab0d-6045bd56e224","ff685395-2b15-4523-a791-fb3d8eb5bd82"
"668a4dbf-708a-f111-8077-7ced8dfed52e","ISO 9001:2015","2025-03-06 00:00:00.0000000","","2028-03-05 00:00:00.0000000","4","Japan Quality Assurance Organisation","JP-QMS-2025-1962","1","0","4","","4353345","4b0e47bf-c36d-f111-ab0d-6045bd56e224","ff685395-2b15-4523-a791-fb3d8eb5bd82"
"648a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2024-10-11 00:00:00.0000000","","2027-10-10 00:00:00.0000000","4","Japan Quality Assurance Organisation","JP-ISMS-2024-4408","1","0","4","","4353344","4b0e47bf-c36d-f111-ab0d-6045bd56e224","ff685395-2b15-4523-a791-fb3d8eb5bd82"
"628a4dbf-708a-f111-8077-7ced8dfed52e","SAP Gold Partner","2026-01-01 00:00:00.0000000","","2026-12-31 00:00:00.0000000","4","SAP SE","SAP-GP-2026-DE-0442","1","0","4","","4353343","4b0e47bf-c36d-f111-ab0d-6045bd56e224","9a3e44c2-bfc1-4022-8c95-b83d2f292488"
"608a4dbf-708a-f111-8077-7ced8dfed52e","TISAX Assessment Level 2","2025-05-27 00:00:00.0000000","","2028-05-26 00:00:00.0000000","4","ENX Association","TISAX-AL2-DE-6641","1","0","4","","4353342","4b0e47bf-c36d-f111-ab0d-6045bd56e224","9a3e44c2-bfc1-4022-8c95-b83d2f292488"
"5e8a4dbf-708a-f111-8077-7ced8dfed52e","ISO 9001:2015","2024-04-18 00:00:00.0000000","","2027-04-17 00:00:00.0000000","4","TUV Rheinland","DE-QMS-2024-2290","1","0","4","","4353341","4b0e47bf-c36d-f111-ab0d-6045bd56e224","9a3e44c2-bfc1-4022-8c95-b83d2f292488"
"5c8a4dbf-708a-f111-8077-7ced8dfed52e","SOC 2 Type II","2025-12-15 00:00:00.0000000","","2026-12-14 00:00:00.0000000","4","KPMG Australia","SOC2-2025-SLC-011","1","0","4","","4353340","4b0e47bf-c36d-f111-ab0d-6045bd56e224","3d9afe86-e806-405b-ad54-c1e6842cbc02"
"5a8a4dbf-708a-f111-8077-7ced8dfed52e","CREST Accredited Penetration Testing","2025-02-03 00:00:00.0000000","","2027-02-02 00:00:00.0000000","4","CREST","CREST-PT-AU-1187","1","0","4","","4353339","4b0e47bf-c36d-f111-ab0d-6045bd56e224","3d9afe86-e806-405b-ad54-c1e6842cbc02"
"588a4dbf-708a-f111-8077-7ced8dfed52e","IRAP Assessed - PROTECTED","2025-09-19 00:00:00.0000000","","2027-09-18 00:00:00.0000000","4","ASD IRAP Assessor Panel","IRAP-2025-AU-0338","1","0","4","","4353338","4b0e47bf-c36d-f111-ab0d-6045bd56e224","3d9afe86-e806-405b-ad54-c1e6842cbc02"
"568a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2024-11-08 00:00:00.0000000","","2027-11-07 00:00:00.0000000","4","SAI Global","AU-ISMS-2024-7712","1","0","4","","4353337","4b0e47bf-c36d-f111-ab0d-6045bd56e224","3d9afe86-e806-405b-ad54-c1e6842cbc02"
"548a4dbf-708a-f111-8077-7ced8dfed52e","ISO 9001:2015","2023-05-10 00:00:00.0000000","","2026-05-09 00:00:00.0000000","4","TUV India","IN-QMS-2023-2214","1","0","4","","4353336","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c26d66dc-8a20-4873-8e5f-c0fdc0072e04"
"528a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27701:2019","2025-08-14 00:00:00.0000000","","2028-08-13 00:00:00.0000000","4","BSI Group India","IN-PIMS-2025-1104","1","0","4","","4353335","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c26d66dc-8a20-4873-8e5f-c0fdc0072e04"
"508a4dbf-708a-f111-8077-7ced8dfed52e","CMMI Level 5 (Development)","2025-04-30 00:00:00.0000000","","2028-04-29 00:00:00.0000000","4","ISACA CMMI Institute","CMMI-DEV-L5-IN-2231","1","0","4","","4353334","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c26d66dc-8a20-4873-8e5f-c0fdc0072e04"
"4e8a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2024-07-22 00:00:00.0000000","","2027-07-21 00:00:00.0000000","4","BSI Group India","IN-ISMS-2024-5510","1","0","4","","4353333","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c26d66dc-8a20-4873-8e5f-c0fdc0072e04"
"4c8a4dbf-708a-f111-8077-7ced8dfed52e","Microsoft Solutions Partner - Azure Infrastructure","2025-10-01 00:00:00.0000000","","2026-09-30 00:00:00.0000000","4","Microsoft","MSP-AZI-2025-88231","1","0","4","","4353332","4b0e47bf-c36d-f111-ab0d-6045bd56e224","0e6bcf5f-3245-49c0-b91e-38452571a7de"
"4a8a4dbf-708a-f111-8077-7ced8dfed52e","AWS Premier Tier Services Partner","2026-01-15 00:00:00.0000000","","2026-12-31 00:00:00.0000000","4","Amazon Web Services","APN-PREM-2026-MY-014","1","0","4","","4353331","4b0e47bf-c36d-f111-ab0d-6045bd56e224","0e6bcf5f-3245-49c0-b91e-38452571a7de"
"488a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 20000-1:2018","2024-02-12 00:00:00.0000000","","2027-02-11 00:00:00.0000000","4","SIRIM QAS International","MY-ITSM-2024-0877","1","0","4","","4353330","4b0e47bf-c36d-f111-ab0d-6045bd56e224","0e6bcf5f-3245-49c0-b91e-38452571a7de"
"468a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2023-09-05 00:00:00.0000000","","2026-09-04 00:00:00.0000000","4","SIRIM QAS International","MY-ISMS-2023-3391","1","0","4","","4353329","4b0e47bf-c36d-f111-ab0d-6045bd56e224","0e6bcf5f-3245-49c0-b91e-38452571a7de"
"448a4dbf-708a-f111-8077-7ced8dfed52e","MTCS SS 584 Tier 3","2025-06-20 00:00:00.0000000","","2028-06-19 00:00:00.0000000","4","TUV SUD PSB","MTCS-T3-SG-0412","1","0","4","","4353328","4b0e47bf-c36d-f111-ab0d-6045bd56e224","8d66e83a-7774-42de-9fa2-49414c96244d"
"428a4dbf-708a-f111-8077-7ced8dfed52e","SOC 2 Type II","2025-11-01 00:00:00.0000000","","2026-10-31 00:00:00.0000000","4","Ernst & Young LLP","SOC2-2025-ACM-004","1","0","4","","4353327","4b0e47bf-c36d-f111-ab0d-6045bd56e224","8d66e83a-7774-42de-9fa2-49414c96244d"
"408a4dbf-708a-f111-8077-7ced8dfed52e","ISO/IEC 27001:2022","2024-03-15 00:00:00.0000000","","2027-03-14 00:00:00.0000000","4","BSI Group","ISMS-SG-118742","1","0","4","","4353325","4b0e47bf-c36d-f111-ab0d-6045bd56e224","8d66e83a-7774-42de-9fa2-49414c96244d"
