Certification Name,Issuer,Date Earned,Expiry Date,Reference Number,Document,Vendor
ISO 9001:2015,SASO Saudi Arabia,2025-04-13,2028-04-12,SA-QMS-2025-6690,riyadhdigital-iso9001-2025.pdf,Riyadh Digital Bridge
ISO/IEC 27001:2022,QCC Qatar,2025-06-06,2028-06-05,QA-ISMS-2025-2270,dohaharbor-iso27001-2025.pdf,Doha Harbor Analytics
ISO 9001:2015,QCC Qatar,2025-10-26,2028-10-25,QA-QMS-2025-2270,dohaharbor-iso9001-2025.pdf,Doha Harbor Analytics
ISO/IEC 27001:2022,SII Israel,2024-03-19,2027-03-18,IL-ISMS-2024-8814,galileecyber-iso27001-2024.pdf,Galilee Cyber Works
CREST Accredited Penetration Testing,CREST,2025-08-06,2027-08-05,CREST-PT-IL-8814,galileecyber-crest-pt-2025.pdf,Galilee Cyber Works
ISO 9001:2015,EOS Egypt,2025-07-15,2028-07-14,EG-QMS-2025-3321,niledeltasoftware-iso9001-2025.pdf,Nile Delta Software
ISO/IEC 27001:2022,EOS Egypt,2025-11-19,2028-11-18,EG-ISMS-2025-3321,niledeltasoftware-iso27001-2025.pdf,Nile Delta Software
ISO/IEC 27001:2022,JSMO Jordan,2024-11-05,2027-11-04,JO-ISMS-2024-1198,ammancloud-iso27001-2024.pdf,Amman Cloud Circle
ISO 9001:2015,JSMO Jordan,2025-05-23,2028-05-22,JO-QMS-2025-1198,ammancloud-iso9001-2025.pdf,Amman Cloud Circle
ISO/IEC 27001:2022,Oman Accreditation Council,2025-09-23,2028-09-22,OM-ISMS-2025-4413,muscatmarine-iso27001-2025.pdf,Muscat Marine Systems
ISO 9001:2015,Oman Accreditation Council,2025-12-15,2028-12-14,OM-QMS-2025-4413,muscatmarine-iso9001-2025.pdf,Muscat Marine Systems
PCI DSS Level 1 Service Provider,ControlCase MEA,2025-04-04,2026-04-03,PCI-L1-BH-2025-0219,manamafintech-pcidss-l1-2025.pdf,Manama Fintech Hub
ISO/IEC 27001:2022,DNV Middle East,2025-08-28,2028-08-27,BH-ISMS-2025-0219,manamafintech-iso27001-2025.pdf,Manama Fintech Hub
ISO/IEC 27001:2022,KEBS Kenya,2024-06-27,2027-06-26,KE-ISMS-2024-2298,riftvalleydata-iso27001-2024.pdf,Rift Valley Data Labs
ISO 9001:2015,KEBS Kenya,2025-02-19,2028-02-18,KE-QMS-2025-2298,riftvalleydata-iso9001-2025.pdf,Rift Valley Data Labs
PCI DSS Level 1 Service Provider,ControlCase MEA,2025-11-17,2026-11-16,PCI-L1-NG-2025-0552,lagoslagoon-pcidss-l1-2025.pdf,Lagos Lagoon Tech
ISO/IEC 27001:2022,SON Nigeria,2025-07-04,2028-07-03,NG-ISMS-2025-0552,lagoslagoon-iso27001-2025.pdf,Lagos Lagoon Tech
ISO/IEC 27001:2022,SABS South Africa,2025-01-29,2028-01-28,ZA-ISMS-2025-4471,capewinelands-iso27001-2025.pdf,Cape Winelands Cyber
CREST Accredited Penetration Testing,CREST,2025-10-16,2027-10-15,CREST-PT-ZA-4471,capewinelands-crest-pt-2025.pdf,Cape Winelands Cyber
ISO/IEC 20000-1:2018,SABS South Africa,2024-08-20,2027-08-19,ZA-ITSM-2024-6631,highveld-iso20000-2024.pdf,Highveld Managed Services
ISO/IEC 27001:2022,SABS South Africa,2025-03-06,2028-03-05,ZA-ISMS-2025-6631,highveld-iso27001-2025.pdf,Highveld Managed Services
ISO 9001:2015,IMANOR Morocco,2025-05-13,2028-05-12,MA-QMS-2025-1189,atlasmountain-iso9001-2025.pdf,Atlas Mountain Software
ISO/IEC 27001:2022,IMANOR Morocco,2025-09-29,2028-09-28,MA-ISMS-2025-1189,atlasmountain-iso27001-2025.pdf,Atlas Mountain Software
PCI DSS Level 1 Service Provider,ControlCase MEA,2024-12-08,2025-12-07,PCI-L1-GH-2024-0331,accradigital-pcidss-l1-2024.pdf,Accra Digital Exchange
ISO/IEC 27001:2022,GSA Ghana,2025-06-11,2028-06-10,GH-ISMS-2025-0331,accradigital-iso27001-2025.pdf,Accra Digital Exchange
ISO/IEC 27001:2022,TBS Tanzania,2025-03-03,2028-03-02,TZ-ISMS-2025-2201,kilimanjarocloud-iso27001-2025.pdf,Kilimanjaro Cloud Base
ISO 9001:2015,TBS Tanzania,2025-08-24,2028-08-23,TZ-QMS-2025-2201,kilimanjarocloud-iso9001-2025.pdf,Kilimanjaro Cloud Base
ISO 9001:2015,Bureau Veritas Senegal,2024-10-14,2027-10-13,SN-QMS-2024-1174,sahelsystems-iso9001-2024.pdf,Sahel Systems Alliance
ISO/IEC 27001:2022,Bureau Veritas Senegal,2025-01-31,2028-01-30,SN-ISMS-2025-1174,sahelsystems-iso27001-2025.pdf,Sahel Systems Alliance
ISO/IEC 27001:2022,BSI Group India,2024-02-08,2027-02-07,IN-ISMS-2024-9012,deccancloud-iso27001-2024.pdf,Deccan Cloud Systems
ISO/IEC 20000-1:2018,BSI Group India,2025-06-05,2028-06-04,IN-ITSM-2025-9012,deccancloud-iso20000-2025.pdf,Deccan Cloud Systems
SOC 2 Type II,Deloitte India,2025-11-21,2026-11-20,SOC2-2025-DCS-033,deccancloud-soc2-type2-2025.pdf,Deccan Cloud Systems
CMMI Level 5 (Development),ISACA CMMI Institute,2025-01-27,2028-01-26,CMMI-DEV-L5-IN-5581,gangesdata-cmmi-l5-2025.pdf,Ganges Data Foundry
ISO/IEC 27001:2022,BSI Group India,2025-04-19,2028-04-18,IN-ISMS-2025-5581,gangesdata-iso27001-2025.pdf,Ganges Data Foundry
CREST Accredited Penetration Testing,CREST,2025-05-08,2027-05-07,CREST-PT-IN-2209,nilgiricyber-crest-pt-2025.pdf,Nilgiri Cyber Shield
ISO/IEC 27001:2022,TUV India,2025-09-10,2028-09-09,IN-ISMS-2025-2209,nilgiricyber-iso27001-2025.pdf,Nilgiri Cyber Shield
ISO/IEC 27001:2022,TUV India,2024-09-02,2027-09-01,IN-ISMS-2024-3345,thardesert-iso27001-2024.pdf,Thar Desert Automation
ISO 9001:2015,TUV India,2025-12-27,2028-12-26,IN-QMS-2025-3345,thardesert-iso9001-2025.pdf,Thar Desert Automation
ISO/IEC 27001:2022,PSQCA Pakistan,2025-06-30,2028-06-29,PK-ISMS-2025-7702,indusvalley-iso27001-2025.pdf,Indus Valley Networks
ISO 9001:2015,PSQCA Pakistan,2025-11-02,2028-11-01,PK-QMS-2025-7702,indusvalley-iso9001-2025.pdf,Indus Valley Networks
ISO/IEC 27001:2022,BAB Bangladesh,2024-04-17,2027-04-16,BD-ISMS-2024-4415,padmariver-iso27001-2024.pdf,Padma River Software
ISO 9001:2015,BAB Bangladesh,2025-08-30,2028-08-29,BD-QMS-2025-4415,padmariver-iso9001-2025.pdf,Padma River Software
ISO 9001:2015,SLSI Sri Lanka,2025-08-25,2028-08-24,LK-QMS-2025-0982,ceylontea-iso9001-2025.pdf,Ceylon Tea Analytics
ISO/IEC 27001:2022,SLSI Sri Lanka,2025-02-28,2028-02-27,LK-ISMS-2025-0982,ceylontea-iso27001-2025.pdf,Ceylon Tea Analytics
ISO/IEC 27001:2022,PSQCA Pakistan,2024-12-01,2027-11-30,PK-ISMS-2024-8871,karakoramsystems-iso27001-2024.pdf,Karakoram Systems Group
ISO 9001:2015,PSQCA Pakistan,2025-05-06,2028-05-05,PK-QMS-2025-8871,karakoramsystems-iso9001-2025.pdf,Karakoram Systems Group
ISO/IEC 27001:2022,CQC China,2024-07-19,2027-07-18,CN-ISMS-2024-6602,yangtzecloud-iso27001-2024.pdf,Yangtze Cloud Alliance
ISO/IEC 20000-1:2018,CQC China,2025-10-19,2028-10-18,CN-ITSM-2025-6602,yangtzecloud-iso20000-2025.pdf,Yangtze Cloud Alliance
ISO 9001:2015,CQC China,2025-02-14,2028-02-13,CN-QMS-2025-3391,pearlriverrobotics-iso9001-2025.pdf,Pearl River Robotics
ISO/IEC 27001:2022,CQC China,2025-07-14,2028-07-13,CN-ISMS-2025-3391,pearlriverrobotics-iso27001-2025.pdf,Pearl River Robotics
ISO/IEC 27001:2022,Hong Kong Quality Assurance Agency,2024-11-27,2027-11-26,HK-ISMS-2024-5528,kowloonbay-iso27001-2024.pdf,Kowloon Bay Advisory
ISO/IEC 27701:2019,Hong Kong Quality Assurance Agency,2025-04-08,2028-04-07,HK-PIMS-2025-5528,kowloonbay-iso27701-2025.pdf,Kowloon Bay Advisory
CMMI Level 4 (Development),ISACA CMMI Institute,2025-03-31,2028-03-30,CMMI-DEV-L4-TW-2298,taipeisemiconductor-cmmi-l4-2025.pdf,Taipei Semiconductor IT
ISO/IEC 27001:2022,Bureau Veritas Taiwan,2025-09-25,2028-09-24,TW-ISMS-2025-2298,taipeisemiconductor-iso27001-2025.pdf,Taipei Semiconductor IT
ISO/IEC 27001:2022,Japan Quality Assurance Organisation,2024-06-11,2027-06-10,JP-ISMS-2024-1187,fujicloud-iso27001-2024.pdf,Fuji Cloud Innovations
ISO/IEC 27017:2015 Cloud Security,Japan Quality Assurance Organisation,2025-12-13,2028-12-12,JP-CLOUD-2025-1187,fujicloud-iso27017-2025.pdf,Fuji Cloud Innovations
ISO 9001:2015,Japan Quality Assurance Organisation,2025-09-19,2028-09-18,JP-QMS-2025-4470,hokkaidofield-iso9001-2025.pdf,Hokkaido Field Systems
ISO/IEC 27001:2022,Japan Quality Assurance Organisation,2025-03-01,2028-02-29,JP-ISMS-2025-4470,hokkaidofield-iso27001-2025.pdf,Hokkaido Field Systems
ISO/IEC 27001:2022,Korean Foundation for Quality,2024-10-08,2027-10-07,KR-ISMS-2024-3312,busanport-iso27001-2024.pdf,Busan Port Digital
ISO 9001:2015,Korean Foundation for Quality,2025-07-28,2028-07-27,KR-QMS-2025-3312,busanport-iso9001-2025.pdf,Busan Port Digital
ISO/IEC 42001:2023 AI Management System,BSI Group Korea,2026-01-05,2029-01-04,KR-AIMS-2026-0091,jejuconversational-iso42001-2026.pdf,Jeju Conversational Labs
ISO/IEC 27001:2022,BSI Group Korea,2025-05-15,2028-05-14,KR-ISMS-2025-0091,jejuconversational-iso27001-2025.pdf,Jeju Conversational Labs
ISO/IEC 27001:2022,SIRIM QAS International,2024-05-21,2027-05-20,MY-ISMS-2024-2298,selatmelaka-iso27001-2024.pdf,Selat Melaka Systems
ISO 9001:2015,SIRIM QAS International,2025-11-24,2028-11-23,MY-QMS-2025-2298,selatmelaka-iso9001-2025.pdf,Selat Melaka Systems
ISO/IEC 27001:2022,SIRIM QAS International,2025-07-02,2028-07-01,MY-ISMS-2025-6613,borneorainforest-iso27001-2025.pdf,Borneo Rainforest Data
ISO 9001:2015,SIRIM QAS International,2025-12-30,2028-12-29,MY-QMS-2025-6613,borneorainforest-iso9001-2025.pdf,Borneo Rainforest Data
ISO/IEC 27001:2022,SGS Indonesia,2024-08-08,2027-08-07,ID-ISMS-2024-4471,merapicloud-iso27001-2024.pdf,Merapi Cloud Foundry
ISO/IEC 20000-1:2018,SGS Indonesia,2025-02-22,2028-02-21,ID-ITSM-2025-4471,merapicloud-iso20000-2025.pdf,Merapi Cloud Foundry
ISO/IEC 27001:2022,SGS Indonesia,2025-04-14,2028-04-13,ID-ISMS-2025-7702,sundastraitcyber-iso27001-2025.pdf,Sunda Strait Cyber
CREST Accredited Penetration Testing,CREST,2025-08-19,2027-08-18,CREST-PT-ID-7702,sundastraitcyber-crest-pt-2025.pdf,Sunda Strait Cyber
ISO 9001:2015,TUV Rheinland Philippines,2024-01-30,2027-01-29,PH-QMS-2024-1198,cordillerabpo-iso9001-2024.pdf,Cordillera BPO Group
PCI DSS Level 1 Service Provider,ControlCase APAC,2025-05-17,2026-05-16,PCI-L1-PH-2025-0447,cordillerabpo-pcidss-l1-2025.pdf,Cordillera BPO Group
SOC 2 Type II,KPMG Philippines,2025-10-02,2026-10-01,SOC2-2025-CBG-041,cordillerabpo-soc2-type2-2025.pdf,Cordillera BPO Group
ISO/IEC 27001:2022,TUV Rheinland Philippines,2025-10-11,2028-10-10,PH-ISMS-2025-5581,palawanreef-iso27001-2025.pdf,Palawan Reef Software
ISO 9001:2015,TUV Rheinland Philippines,2025-04-04,2028-04-03,PH-QMS-2025-5581,palawanreef-iso9001-2025.pdf,Palawan Reef Software
ISO/IEC 27001:2022,Bureau Veritas Vietnam,2024-02-24,2027-02-23,VN-ISMS-2024-3345,mekongdelta-iso27001-2024.pdf,Mekong Delta Analytics
ISO 9001:2015,Bureau Veritas Vietnam,2025-09-01,2028-08-31,VN-QMS-2025-3345,mekongdelta-iso9001-2025.pdf,Mekong Delta Analytics
ISO/IEC 27001:2022,Bureau Veritas Vietnam,2025-11-29,2028-11-28,VN-ISMS-2025-8814,halongbaycloud-iso27001-2025.pdf,Halong Bay Cloud Works
ISO/IEC 20000-1:2018,Bureau Veritas Vietnam,2025-05-08,2028-05-07,VN-ITSM-2025-8814,halongbaycloud-iso20000-2025.pdf,Halong Bay Cloud Works
PCI DSS Level 1 Service Provider,ControlCase APAC,2025-06-20,2026-06-19,PCI-L1-TH-2025-0447,chaophrayafintech-pcidss-l1-2025.pdf,Chao Phraya Fintech
