Vendor Name,Legal Name,Website Domain,Business Domains,Capabilities,Industry,Country,HQ Location,Regional Operating Capacity,Headcount,Vendor Status,Has Active Contract,Source,Overview,AI Extracted,Source Citations
Pampas Data Collective,Pampas Data Collective SA,pampasdatacollective.com.ar,Energy & Utilities;Public Sector,Data Engineering;Business Intelligence,Professional Services,Argentina,Buenos Aires,Argentina;Uruguay,210,Registered,False,Manual Registration,"Buenos Aires analytics consultancy supporting energy and public-sector reporting modernisation.",False,
Copacabana Cloud Partners,Copacabana Cloud Partners Ltda,copacabanacloud.com.br,Retail & Consumer;Telecommunications,Cloud Migration;Managed Services;Cybersecurity Operations,Information Technology,Brazil,Rio de Janeiro,Brazil;Argentina,530,Potential,False,External Discovery,"Rio-based managed cloud provider serving retail chains and telecom operators across the Mercosul region.",True,"[""https://copacabanacloud.com.br/servicos"",""https://www.linkedin.com/company/copacabana-cloud-partners""]"
Thameside Advisory,Thameside Advisory LLP,thamesideadvisory.co.uk,Financial Services;Public Sector,Data Governance;Change Management;Business Intelligence,Consulting,United Kingdom,London,United Kingdom;Ireland,480,Registered,False,Manual Registration,"London advisory practice supporting regulatory reporting and governance uplift programmes for mid-tier banks.",False,
Highland Security Partners,Highland Security Partners Ltd,highlandsecuritypartners.co.uk,Public Sector;Energy & Utilities,Cybersecurity Operations;Penetration Testing;Identity & Access Management,Cybersecurity,United Kingdom,Edinburgh,United Kingdom,190,Potential,False,External Discovery,"Edinburgh-based security testing firm serving Scottish public sector and energy operators.",True,"[""https://highlandsecuritypartners.co.uk/about"",""https://www.linkedin.com/company/highland-security-partners""]"
Mersey Cloud Collective,Mersey Cloud Collective Ltd,merseycloud.co.uk,Manufacturing;Transport & Logistics,Cloud Migration;DevOps Automation;Integration & APIs,Information Technology,United Kingdom,Liverpool,United Kingdom,240,Registered,False,Manual Registration,"Liverpool cloud consultancy modernising legacy logistics platforms for northern England manufacturers.",False,
Dublin Bay Analytics,Dublin Bay Analytics DAC,dublinbayanalytics.ie,Financial Services;Healthcare,Data Engineering;Business Intelligence;Data Governance,Professional Services,Ireland,Dublin,Ireland;United Kingdom,310,Potential,False,External Discovery,"Dublin analytics house building regulatory data marts for financial services and health insurers.",True,"[""https://dublinbayanalytics.ie/insights"",""https://www.crunchbase.com/organization/dublin-bay-analytics""]"
Shannon Estuary Robotics,Shannon Estuary Robotics Ltd,shannonestuaryrobotics.ie,Manufacturing,RPA;Application Development;Test Automation,Information Technology,Ireland,Limerick,Ireland,130,Registered,False,Manual Registration,"Limerick-based automation integrator serving medtech and pharma manufacturing lines.",False,
Belfast Harbour Tech,Belfast Harbour Tech Ltd,belfastharbourtech.co.uk,Transport & Logistics;Public Sector,Network Infrastructure;Managed Services,Telecommunications,United Kingdom,Belfast,United Kingdom;Ireland,175,Potential,False,External Discovery,"Northern Irish network integrator supporting port authority and logistics connectivity upgrades.",True,"[""https://belfastharbourtech.co.uk/services"",""https://www.linkedin.com/company/belfast-harbour-tech""]"
Rhine Valley Systems,Rhine Valley Systems GmbH,rhinevalleysystems.de,Manufacturing;Energy & Utilities,ERP Implementation;Integration & APIs;Change Management,Professional Services,Germany,Cologne,Germany;Netherlands,690,Registered,False,Manual Registration,"Rhineland SAP partner delivering ERP consolidation for chemical and utilities groups.",False,
Berliner Datenwerk,Berliner Datenwerk GmbH,berlinerdatenwerk.de,Public Sector;Telecommunications,Data Engineering;Business Intelligence;Machine Learning,Information Technology,Germany,Berlin,Germany;Poland,420,Potential,False,External Discovery,"Berlin data engineering studio building smart-city analytics for municipal telecom infrastructure.",True,"[""https://berlinerdatenwerk.de/leistungen"",""https://www.linkedin.com/company/berliner-datenwerk""]"
Bavarian Cyber Guard,Bavarian Cyber Guard AG,bavariancyberguard.de,Manufacturing;Financial Services,Cybersecurity Operations;Penetration Testing,Cybersecurity,Germany,Munich,Germany;Austria;Switzerland,260,Registered,False,Manual Registration,"Munich-based security testing firm serving DACH region automotive and banking clients.",False,
Batavia Cloud Studio,Batavia Cloud Studio B.V.,bataviacloudstudio.nl,Retail & Consumer;Public Sector,Cloud Migration;DevOps Automation;Site Reliability Engineering,Information Technology,Netherlands,Amsterdam,Netherlands;Belgium,350,Potential,False,External Discovery,"Amsterdam cloud-native consultancy running SRE retainers for retail and government platforms.",True,"[""https://bataviacloudstudio.nl/over-ons"",""https://www.crunchbase.com/organization/batavia-cloud-studio""]"
Flanders Field Robotics,Flanders Field Robotics NV,flandersfieldrobotics.be,Manufacturing;Transport & Logistics,RPA;Application Development;Machine Learning,Information Technology,Belgium,Antwerp,Belgium;Netherlands;France,230,Registered,False,Manual Registration,"Antwerp port-logistics automation vendor building warehouse robotics orchestration software.",False,
Zeeland Data Governance,Zeeland Data Governance B.V.,zeelanddatagovernance.nl,Financial Services;Energy & Utilities,Data Governance;Business Intelligence,Professional Services,Netherlands,Rotterdam,Netherlands,190,Potential,False,External Discovery,"Rotterdam boutique advising on data governance and reporting for energy trading desks.",True,"[""https://zeelanddatagovernance.nl/diensten"",""https://www.linkedin.com/company/zeeland-data-governance""]"
Pyrenees Engineering Group,Pyrenees Engineering Group SL,pyreneesengineering.es,Aviation;Manufacturing,Application Development;Site Reliability Engineering,Engineering Services,Spain,Barcelona,Spain;France,410,Registered,False,Manual Registration,"Barcelona engineering house supporting safety-critical avionics software delivery.",False,
Madrid Managed Services,Madrid Managed Services SA,madridmanagedservices.es,Public Sector;Retail & Consumer,Managed Services;Cybersecurity Operations;Network Infrastructure,Information Technology,Spain,Madrid,Spain;Portugal,560,Potential,False,External Discovery,"Madrid managed services provider running SOC and network operations for regional retailers.",True,"[""https://madridmanagedservices.es/servicios"",""https://www.gartner.com/reviews/market/mssp-iberia""]"
Lisboa Cloud Bridge,Lisboa Cloud Bridge Lda,lisboacloudbridge.pt,Telecommunications;Public Sector,Cloud Migration;Integration & APIs,Information Technology,Portugal,Lisbon,Portugal;Spain,180,Registered,False,Manual Registration,"Lisbon systems integrator connecting legacy telecom billing systems to cloud platforms.",False,
Milano Fintech Studio,Milano Fintech Studio SRL,milanofintechstudio.it,Financial Services,Application Development;Machine Learning;Integration & APIs,Financial Technology,Italy,Milan,Italy;Switzerland,240,Potential,False,External Discovery,"Milan product studio building AI-assisted credit scoring tools for regional lenders.",True,"[""https://milanofintechstudio.it/prodotto"",""https://www.crunchbase.com/organization/milano-fintech-studio""]"
Alpine Assurance Partners,Alpine Assurance Partners AG,alpineassurance.ch,Financial Services;Healthcare,Data Governance;Change Management,Consulting,Switzerland,Zurich,Switzerland;Liechtenstein,150,Registered,False,Manual Registration,"Zurich advisory boutique supporting compliance transformation for private banks and insurers.",False,
Danube Software House,Danube Software House GmbH,danubesoftwarehouse.at,Public Sector;Education,Application Development;Test Automation,Information Technology,Austria,Vienna,Austria;Slovakia;Hungary,210,Potential,False,External Discovery,"Vienna software house building citizen services portals for Central European ministries.",True,"[""https://danubesoftwarehouse.at/leistungen"",""https://www.linkedin.com/company/danube-software-house""]"
Fjord Line Cloud,Fjord Line Cloud AS,fjordlinecloud.no,Energy & Utilities;Transport & Logistics,Cloud Migration;Data Engineering,Information Technology,Norway,Bergen,Norway;Sweden,260,Registered,False,Manual Registration,"Bergen-based cloud provider supporting offshore energy and maritime logistics operators.",False,
Skane Digital Works,Skane Digital Works AB,skanedigitalworks.se,Retail & Consumer;Manufacturing,Application Development;RPA;Business Intelligence,Information Technology,Sweden,Malmo,Sweden;Denmark,330,Potential,False,External Discovery,"Malmo cross-border digital studio serving Oresund region retail and manufacturing clients.",True,"[""https://skanedigitalworks.se/om-oss"",""https://www.linkedin.com/company/skane-digital-works""]"
Baltic Sea Cyber Labs,Baltic Sea Cyber Labs Oy,balticseacyberlabs.fi,Public Sector;Telecommunications,Cybersecurity Operations;Identity & Access Management,Cybersecurity,Finland,Helsinki,Finland;Estonia;Sweden,140,Registered,False,Manual Registration,"Helsinki security lab providing identity modernisation for Nordic telecom operators.",False,
Vistula Systems Group,Vistula Systems Group Sp. z o.o.,vistulasystems.pl,Manufacturing;Public Sector,ERP Implementation;Integration & APIs,Professional Services,Poland,Warsaw,Poland;Germany,470,Potential,False,External Discovery,"Warsaw ERP integrator delivering finance transformation for Central European manufacturers.",True,"[""https://vistulasystems.pl/o-nas"",""https://www.linkedin.com/company/vistula-systems-group""]"
Vltava Data Studio,Vltava Data Studio s.r.o.,vltavadatastudio.cz,Financial Services;Retail & Consumer,Data Engineering;Business Intelligence,Information Technology,Czech Republic,Prague,Czech Republic;Slovakia,190,Registered,False,Manual Registration,"Prague analytics studio building reporting pipelines for regional retail banks.",False,
Carpathian Cloud Ops,Carpathian Cloud Ops SRL,carpathiancloudops.ro,Public Sector;Energy & Utilities,Cloud Migration;Managed Services,Information Technology,Romania,Bucharest,Romania;Bulgaria,260,Potential,False,External Discovery,"Bucharest managed cloud provider serving public-sector and energy clients across the Balkans.",True,"[""https://carpathiancloudops.ro/servicii"",""https://www.crunchbase.com/organization/carpathian-cloud-ops""]"
Dnipro Digital Forge,Dnipro Digital Forge LLC,dniprodigitalforge.com,Manufacturing;Telecommunications,Application Development;Test Automation,Information Technology,Ukraine,Lviv,Ukraine;Poland,340,Registered,False,Manual Registration,"Lviv engineering house providing nearshore application development for European telecom clients.",False,
Bosphorus Bridge IT,Bosphorus Bridge IT A.S.,bosphorusbridgeit.com.tr,Financial Services;Retail & Consumer,Integration & APIs;Machine Learning,Financial Technology,Turkiye,Istanbul,Turkiye;Greece,380,Potential,False,External Discovery,"Istanbul fintech integrator connecting regional payment rails for retail lenders.",True,"[""https://bosphorusbridgeit.com.tr/hakkimizda"",""https://www.gartner.com/reviews/market/fintech-turkey""]"
Zagreb Assurance Partners,Zagreb Assurance Partners d.o.o.,zagrebassurance.hr,Public Sector;Healthcare,Data Governance;Change Management,Consulting,Croatia,Zagreb,Croatia;Slovenia,110,Registered,False,Manual Registration,"Zagreb advisory boutique supporting EU-funded public health digitisation programmes.",False,
Tatra Networks,Tatra Networks a.s.,tatranetworks.sk,Telecommunications;Transport & Logistics,Network Infrastructure;Managed Services,Telecommunications,Slovakia,Bratislava,Slovakia;Czech Republic;Austria,150,Potential,False,External Discovery,"Bratislava network integrator running managed connectivity for regional logistics operators.",True,"[""https://tatranetworks.sk/o-nas"",""https://www.linkedin.com/company/tatra-networks""]"
Baltic Amber Analytics,Baltic Amber Analytics UAB,balticamberanalytics.lt,Energy & Utilities;Public Sector,Data Engineering;Business Intelligence,Professional Services,Lithuania,Vilnius,Lithuania;Latvia;Estonia,130,Registered,False,Manual Registration,"Vilnius analytics house supporting Baltic states energy grid reporting modernisation.",False,
Wadi Tech Solutions,Wadi Tech Solutions LLC,waditechsolutions.ae,Energy & Utilities;Public Sector,Cloud Migration;Cybersecurity Operations;Managed Services,Information Technology,United Arab Emirates,Abu Dhabi,United Arab Emirates;Oman,390,Potential,False,External Discovery,"Abu Dhabi systems integrator delivering sovereign cloud and security operations for energy clients.",True,"[""https://waditechsolutions.ae/services"",""https://www.linkedin.com/company/wadi-tech-solutions""]"
Riyadh Digital Bridge,Riyadh Digital Bridge Co,riyadhdigitalbridge.sa,Public Sector;Financial Services,Application Development;Integration & APIs,Information Technology,Saudi Arabia,Riyadh,Saudi Arabia;Bahrain,620,Registered,False,Manual Registration,"Riyadh digital transformation partner supporting Vision 2030 government platform delivery.",False,
Doha Harbor Analytics,Doha Harbor Analytics WLL,dohaharboranalytics.qa,Energy & Utilities;Transport & Logistics,Data Engineering;Business Intelligence,Professional Services,Qatar,Doha,Qatar;United Arab Emirates,170,Potential,False,External Discovery,"Doha analytics consultancy supporting LNG logistics and port operations reporting.",True,"[""https://dohaharboranalytics.qa/insights"",""https://www.crunchbase.com/organization/doha-harbor-analytics""]"
Galilee Cyber Works,Galilee Cyber Works Ltd,galileecyberworks.co.il,Financial Services;Telecommunications,Cybersecurity Operations;Penetration Testing;Identity & Access Management,Cybersecurity,Israel,Tel Aviv,Israel;Cyprus,210,Registered,False,Manual Registration,"Tel Aviv security research firm offering penetration testing for regional banks and telcos.",False,
Nile Delta Software,Nile Delta Software SAE,nileddeltasoftware.com.eg,Public Sector;Education,Application Development;RPA,Information Technology,Egypt,Cairo,Egypt;Jordan,480,Potential,False,External Discovery,"Cairo software house building citizen services and education platforms for MENA governments.",True,"[""https://nileddeltasoftware.com.eg/en/about"",""https://www.linkedin.com/company/nile-delta-software""]"
Amman Cloud Circle,Amman Cloud Circle LLC,ammancloudcircle.jo,Retail & Consumer;Public Sector,Cloud Migration;Managed Services,Information Technology,Jordan,Amman,Jordan;Palestine,140,Registered,False,Manual Registration,"Amman-based cloud reseller and managed services provider for Levant region retailers.",False,
Muscat Marine Systems,Muscat Marine Systems LLC,muscatmarinesystems.om,Energy & Utilities;Transport & Logistics,Network Infrastructure;Integration & APIs,Engineering Services,Oman,Muscat,Oman;United Arab Emirates,190,Potential,False,External Discovery,"Muscat engineering firm integrating port and offshore platform communications systems.",True,"[""https://muscatmarinesystems.om/services"",""https://www.linkedin.com/company/muscat-marine-systems""]"
Manama Fintech Hub,Manama Fintech Hub B.S.C.,manamafintechhub.bh,Financial Services,Application Development;Machine Learning,Financial Technology,Bahrain,Manama,Bahrain;Saudi Arabia,95,Registered,False,Manual Registration,"Manama fintech studio building Sharia-compliant lending platforms for Gulf banks.",False,
Rift Valley Data Labs,Rift Valley Data Labs Ltd,riftvalleydatalabs.co.ke,Public Sector;Healthcare,Data Engineering;Business Intelligence,Professional Services,Kenya,Nairobi,Kenya;Uganda;Tanzania,220,Potential,False,External Discovery,"Nairobi analytics lab supporting health ministry data platforms across East Africa.",True,"[""https://riftvalleydatalabs.co.ke/about"",""https://www.linkedin.com/company/rift-valley-data-labs""]"
Lagos Lagoon Tech,Lagos Lagoon Tech Ltd,lagoslagoontech.ng,Financial Services;Retail & Consumer,Application Development;Integration & APIs,Financial Technology,Nigeria,Lagos,Nigeria;Ghana,340,Registered,False,Manual Registration,"Lagos fintech integrator connecting mobile money rails for West African retailers.",False,
Cape Winelands Cyber,Cape Winelands Cyber Pty Ltd,capewinelandscyber.co.za,Public Sector;Financial Services,Cybersecurity Operations;Identity & Access Management,Cybersecurity,South Africa,Cape Town,South Africa;Namibia,260,Potential,False,External Discovery,"Cape Town security firm delivering identity modernisation for regional government and banks.",True,"[""https://capewinelandscyber.co.za/services"",""https://www.gartner.com/reviews/market/mssp-south-africa""]"
Highveld Managed Services,Highveld Managed Services Pty Ltd,highveldmanaged.co.za,Manufacturing;Energy & Utilities,Managed Services;Network Infrastructure,Information Technology,South Africa,Johannesburg,South Africa;Botswana;Zambia,410,Registered,False,Manual Registration,"Johannesburg managed IT provider supporting mining and utilities operations across Southern Africa.",False,
Atlas Mountain Software,Atlas Mountain Software SARL,atlasmountainsoftware.ma,Public Sector;Telecommunications,Application Development;Test Automation,Information Technology,Morocco,Casablanca,Morocco;Tunisia;Algeria,190,Potential,False,External Discovery,"Casablanca nearshore software vendor serving Francophone telecom and government clients.",True,"[""https://atlasmountainsoftware.ma/fr/apropos"",""https://www.linkedin.com/company/atlas-mountain-software""]"
Accra Digital Exchange,Accra Digital Exchange Ltd,accradigitalexchange.com.gh,Financial Services;Retail & Consumer,Machine Learning;RPA,Financial Technology,Ghana,Accra,Ghana;Nigeria;Ivory Coast,150,Registered,False,Manual Registration,"Accra fintech consultancy building automated KYC and onboarding tools for West African banks.",False,
Kilimanjaro Cloud Base,Kilimanjaro Cloud Base Ltd,kilimanjarocloudbase.co.tz,Transport & Logistics;Energy & Utilities,Cloud Migration;Data Engineering,Information Technology,Tanzania,Dar es Salaam,Tanzania;Kenya,130,Potential,False,External Discovery,"Dar es Salaam cloud consultancy supporting logistics and mining sector data platforms.",True,"[""https://kilimanjarocloudbase.co.tz/services"",""https://www.linkedin.com/company/kilimanjaro-cloud-base""]"
Sahel Systems Alliance,Sahel Systems Alliance SA,sahelsystemsalliance.sn,Public Sector;Education,Application Development;Integration & APIs,Information Technology,Senegal,Dakar,Senegal;Mali;Ivory Coast,105,Registered,False,Manual Registration,"Dakar systems integrator delivering education ministry platforms across Francophone West Africa.",False,
Deccan Cloud Systems,Deccan Cloud Systems Pvt Ltd,deccancloudsystems.in,Retail & Consumer;Manufacturing,Cloud Migration;DevOps Automation;Site Reliability Engineering,Information Technology,India,Hyderabad,India;United Arab Emirates,1650,Registered,False,Manual Registration,"Hyderabad cloud engineering house running SRE retainers for retail and manufacturing enterprises.",False,
Ganges Data Foundry,Ganges Data Foundry Pvt Ltd,gangesdatafoundry.in,Financial Services;Healthcare,Data Engineering;Business Intelligence;Data Governance,Information Technology,India,Kolkata,India;Bangladesh,890,Potential,False,External Discovery,"Kolkata data platform vendor building governed lakehouses for regional banks and hospital groups.",True,"[""https://gangesdatafoundry.in/solutions"",""https://www.linkedin.com/company/ganges-data-foundry""]"
Nilgiri Cyber Shield,Nilgiri Cyber Shield Pvt Ltd,nilgiricybershield.in,Public Sector;Telecommunications,Cybersecurity Operations;Penetration Testing,Cybersecurity,India,Chennai,India;Sri Lanka,340,Registered,False,Manual Registration,"Chennai security testing firm serving telecom operators and state government agencies.",False,
Thar Desert Automation,Thar Desert Automation Pvt Ltd,thardesertautomation.in,Manufacturing;Energy & Utilities,RPA;Application Development,Information Technology,India,Jaipur,India;United Arab Emirates,260,Potential,False,External Discovery,"Jaipur automation vendor deploying RPA for renewable energy and manufacturing back-offices.",True,"[""https://thardesertautomation.in/about"",""https://www.crunchbase.com/organization/thar-desert-automation""]"
Indus Valley Networks,Indus Valley Networks Pvt Ltd,indusvalleynetworks.com.pk,Telecommunications;Public Sector,Network Infrastructure;Managed Services,Telecommunications,Pakistan,Lahore,Pakistan;Afghanistan,220,Registered,False,Manual Registration,"Lahore network integrator supporting telecom backbone and government connectivity projects.",False,
Padma River Software,Padma River Software Ltd,padmariversoftware.com.bd,Financial Services;Retail & Consumer,Application Development;Integration & APIs,Financial Technology,Bangladesh,Dhaka,Bangladesh;India,310,Potential,False,External Discovery,"Dhaka fintech engineering house connecting mobile financial services to core banking platforms.",True,"[""https://padmariversoftware.com.bd/about"",""https://www.linkedin.com/company/padma-river-software""]"
Ceylon Tea Analytics,Ceylon Tea Analytics Pvt Ltd,ceylonteaanalytics.lk,Retail & Consumer;Transport & Logistics,Data Engineering;Business Intelligence,Professional Services,Sri Lanka,Colombo,Sri Lanka;Maldives,95,Registered,False,Manual Registration,"Colombo analytics boutique supporting export supply-chain reporting for plantation groups.",False,
Karakoram Systems Group,Karakoram Systems Group Pvt Ltd,karakoramsystems.com.pk,Public Sector;Energy & Utilities,ERP Implementation;Managed Services,Professional Services,Pakistan,Islamabad,Pakistan,180,Potential,False,External Discovery,"Islamabad ERP integrator supporting federal ministry finance transformation.",True,"[""https://karakoramsystems.com.pk/services"",""https://www.linkedin.com/company/karakoram-systems-group""]"
Yangtze Cloud Alliance,Yangtze Cloud Alliance Co Ltd,yangtzecloudalliance.cn,Manufacturing;Retail & Consumer,Cloud Migration;Data Engineering,Information Technology,China,Shanghai,China;Hong Kong SAR,2200,Registered,False,Manual Registration,"Shanghai cloud integrator supporting manufacturing and retail digital supply chains.",False,
Pearl River Robotics,Pearl River Robotics Co Ltd,pearlriverrobotics.cn,Manufacturing,RPA;Application Development;Test Automation,Information Technology,China,Shenzhen,China;Hong Kong SAR;Macau,1400,Potential,False,External Discovery,"Shenzhen automation vendor deploying factory-floor robotics orchestration software.",True,"[""https://pearlriverrobotics.cn/en/about"",""https://www.gartner.com/reviews/market/robotics-china""]"
Kowloon Bay Advisory,Kowloon Bay Advisory Ltd,kowloonbayadvisory.hk,Financial Services,Data Governance;Change Management,Consulting,Hong Kong SAR,Hong Kong,Hong Kong SAR;China,160,Registered,False,Manual Registration,"Hong Kong advisory boutique supporting regulatory reporting transformation for regional banks.",False,
Taipei Semiconductor IT,Taipei Semiconductor IT Co Ltd,taipeisemiconductorit.tw,Manufacturing,Data Engineering;Business Intelligence;Machine Learning,Information Technology,Taiwan,Hsinchu,Taiwan;Japan,720,Potential,False,External Discovery,"Hsinchu analytics vendor building yield and process analytics for semiconductor fabs.",True,"[""https://taipeisemiconductorit.tw/en"",""https://www.linkedin.com/company/taipei-semiconductor-it""]"
Fuji Cloud Innovations,Fuji Cloud Innovations KK,fujicloudinnovations.co.jp,Retail & Consumer;Telecommunications,Cloud Migration;Conversational AI,Software Publishing,Japan,Osaka,Japan;South Korea,260,Registered,False,Manual Registration,"Osaka cloud product studio shipping conversational commerce tools for retail brands.",False,
Hokkaido Field Systems,Hokkaido Field Systems Co Ltd,hokkaidofieldsystems.co.jp,Energy & Utilities;Transport & Logistics,Network Infrastructure;Managed Services,Engineering Services,Japan,Sapporo,Japan,140,Potential,False,External Discovery,"Sapporo engineering firm maintaining rural network infrastructure for utilities and logistics clients.",True,"[""https://hokkaidofieldsystems.co.jp/en/about"",""https://www.linkedin.com/company/hokkaido-field-systems""]"
Busan Port Digital,Busan Port Digital Co Ltd,busanportdigital.co.kr,Transport & Logistics;Public Sector,Integration & APIs;Data Engineering,Information Technology,South Korea,Busan,South Korea;Japan,310,Registered,False,Manual Registration,"Busan systems integrator digitising port authority cargo tracking platforms.",False,
Jeju Conversational Labs,Jeju Conversational Labs Inc,jejuconversationallabs.co.kr,Retail & Consumer;Healthcare,Conversational AI;Machine Learning,Software Publishing,South Korea,Seoul,South Korea,190,Potential,False,External Discovery,"Seoul AI product house building multilingual conversational agents for retail and health clients.",True,"[""https://jejuconversationallabs.co.kr/en"",""https://www.crunchbase.com/organization/jeju-conversational-labs""]"
Selat Melaka Systems,Selat Melaka Systems Sdn Bhd,selatmelakasystems.my,Transport & Logistics;Manufacturing,Integration & APIs;Network Infrastructure,Information Technology,Malaysia,Johor Bahru,Malaysia;Singapore,240,Registered,False,Manual Registration,"Johor Bahru systems integrator connecting cross-strait logistics and manufacturing platforms.",False,
Borneo Rainforest Data,Borneo Rainforest Data Sdn Bhd,borneorainforestdata.my,Energy & Utilities;Public Sector,Data Engineering;Business Intelligence,Professional Services,Malaysia,Kota Kinabalu,Malaysia;Brunei,130,Potential,False,External Discovery,"Kota Kinabalu analytics boutique supporting palm oil and energy sector ESG reporting.",True,"[""https://borneorainforestdata.my/about"",""https://www.linkedin.com/company/borneo-rainforest-data""]"
Merapi Cloud Foundry,Merapi Cloud Foundry PT,merapicloudfoundry.id,Manufacturing;Retail & Consumer,Cloud Migration;DevOps Automation,Information Technology,Indonesia,Yogyakarta,Indonesia;Malaysia,210,Registered,False,Manual Registration,"Yogyakarta cloud consultancy modernising retail and manufacturing platforms across Java.",False,
Sunda Strait Cyber,Sunda Strait Cyber PT,sundastraitcyber.id,Financial Services;Public Sector,Cybersecurity Operations;Identity & Access Management,Cybersecurity,Indonesia,Jakarta,Indonesia;Singapore,290,Potential,False,External Discovery,"Jakarta security firm delivering identity modernisation for regional banks and ministries.",True,"[""https://sundastraitcyber.id/layanan"",""https://www.gartner.com/reviews/market/mssp-indonesia""]"
Cordillera BPO Group,Cordillera BPO Group Inc,cordillerabpo.ph,Retail & Consumer;Healthcare,Managed Services;RPA;Document Intelligence,Business Process Outsourcing,Philippines,Baguio,Philippines;Australia,2100,Registered,False,Manual Registration,"Baguio outsourcing provider handling claims processing for retail and health insurance clients.",False,
Palawan Reef Software,Palawan Reef Software Inc,palawanreefsoftware.ph,Public Sector;Education,Application Development;Test Automation,Information Technology,Philippines,Cebu,Philippines,175,Potential,False,External Discovery,"Cebu engineering studio building education and local-government digital services.",True,"[""https://palawanreefsoftware.ph/about"",""https://www.linkedin.com/company/palawan-reef-software""]"
Mekong Delta Analytics,Mekong Delta Analytics JSC,mekongdeltaanalytics.vn,Manufacturing;Transport & Logistics,Data Engineering;Business Intelligence,Professional Services,Vietnam,Can Tho,Vietnam;Cambodia,145,Registered,False,Manual Registration,"Can Tho analytics vendor supporting agricultural export logistics reporting in the Mekong Delta.",False,
