"new_certificationexternalid","new_certificationname","new_dateearned","new_document","new_expirydate","importsequencenumber","new_issuer","new_referencenumber","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","new_vendor"
"90438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-03-09 00:00:00.0000000","","2028-03-08 00:00:00.0000000","21","Bureau Veritas Taiwan","TW-ISMS-2025-3390","1","0","4","","4670098","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c8fae3b2-a48c-f111-8076-000d3a81e01c"
"8e438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2024-08-13 00:00:00.0000000","","2027-08-12 00:00:00.0000000","21","Bureau Veritas Taiwan","TW-QMS-2024-3390","1","0","4","","4670097","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c8fae3b2-a48c-f111-8076-000d3a81e01c"
"8c438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 20000-1:2018","2025-11-08 00:00:00.0000000","","2028-11-07 00:00:00.0000000","21","TSE Turkiye","TR-ITSM-2025-5581","1","0","4","","4670096","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c7fae3b2-a48c-f111-8076-000d3a81e01c"
"8a438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-03-21 00:00:00.0000000","","2028-03-20 00:00:00.0000000","21","TSE Turkiye","TR-ISMS-2025-5581","1","0","4","","4670095","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c7fae3b2-a48c-f111-8076-000d3a81e01c"
"88438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-09-19 00:00:00.0000000","","2028-09-18 00:00:00.0000000","21","INN Chile","CL-QMS-2025-4482","1","0","4","","4670094","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c6fae3b2-a48c-f111-8076-000d3a81e01c"
"86438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-05-14 00:00:00.0000000","","2027-05-13 00:00:00.0000000","21","INN Chile","CL-ISMS-2024-4482","1","0","4","","4670093","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c6fae3b2-a48c-f111-8076-000d3a81e01c"
"84438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-06-08 00:00:00.0000000","","2028-06-07 00:00:00.0000000","21","ABNT Brazil","BR-ISMS-2025-0668","1","0","4","","4670092","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c5fae3b2-a48c-f111-8076-000d3a81e01c"
"82438a58-aa8c-f111-8076-002248eb7656","PCI DSS Level 1 Service Provider","2025-10-30 00:00:00.0000000","","2026-10-29 00:00:00.0000000","21","ControlCase LatAm","PCI-L1-BR-2025-0668","1","0","4","","4670091","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c5fae3b2-a48c-f111-8076-000d3a81e01c"
"80438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-02-27 00:00:00.0000000","","2028-02-26 00:00:00.0000000","21","ZABS Zambia","ZM-ISMS-2025-1189","1","0","4","","4670090","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c4fae3b2-a48c-f111-8076-000d3a81e01c"
"7e438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2024-07-25 00:00:00.0000000","","2027-07-24 00:00:00.0000000","21","ZABS Zambia","ZM-QMS-2024-1189","1","0","4","","4670089","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c4fae3b2-a48c-f111-8076-000d3a81e01c"
"7c438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-08-04 00:00:00.0000000","","2028-08-03 00:00:00.0000000","21","EOS Egypt","EG-QMS-2025-3312","1","0","4","","4670088","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c3fae3b2-a48c-f111-8076-000d3a81e01c"
"7a438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-01-16 00:00:00.0000000","","2028-01-15 00:00:00.0000000","21","EOS Egypt","EG-ISMS-2025-3312","1","0","4","","4670087","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c3fae3b2-a48c-f111-8076-000d3a81e01c"
"78438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-05-30 00:00:00.0000000","","2028-05-29 00:00:00.0000000","21","SIQ Slovenia","SI-QMS-2025-2298","1","0","4","","4670086","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c2fae3b2-a48c-f111-8076-000d3a81e01c"
"76438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-11-08 00:00:00.0000000","","2027-11-07 00:00:00.0000000","21","SIQ Slovenia","SI-ISMS-2024-2298","1","0","4","","4670085","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c2fae3b2-a48c-f111-8076-000d3a81e01c"
"74438a58-aa8c-f111-8076-002248eb7656","CREST Accredited Penetration Testing","2025-12-18 00:00:00.0000000","","2027-12-17 00:00:00.0000000","21","CREST","CREST-PT-FR-6602","1","0","4","","4670084","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c1fae3b2-a48c-f111-8076-000d3a81e01c"
"72438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-09-12 00:00:00.0000000","","2028-09-11 00:00:00.0000000","21","AFNOR Certification","FR-ISMS-2025-6602","1","0","4","","4670083","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c1fae3b2-a48c-f111-8076-000d3a81e01c"
"70438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-01-20 00:00:00.0000000","","2028-01-19 00:00:00.0000000","21","AFNOR Certification","FR-QMS-2025-4471","1","0","4","","4670082","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c0fae3b2-a48c-f111-8076-000d3a81e01c"
"6e438a58-aa8c-f111-8076-002248eb7656","EN 9100:2018","2024-06-02 00:00:00.0000000","","2027-06-01 00:00:00.0000000","21","AFNOR Certification","FR-AQMS-2024-4471","1","0","4","","4670081","4b0e47bf-c36d-f111-ab0d-6045bd56e224","c0fae3b2-a48c-f111-8076-000d3a81e01c"
"6c438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27701:2019","2025-10-01 00:00:00.0000000","","2028-09-30 00:00:00.0000000","21","BSI Group Canada","CA-PIMS-2025-1187","1","0","4","","4670080","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bffae3b2-a48c-f111-8076-000d3a81e01c"
"6a438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-02-04 00:00:00.0000000","","2028-02-03 00:00:00.0000000","21","BSI Group Canada","CA-QMS-2025-1187","1","0","4","","4670078","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bffae3b2-a48c-f111-8076-000d3a81e01c"
"68438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-08-13 00:00:00.0000000","","2028-08-12 00:00:00.0000000","21","Schellman & Company","US-ISMS-2025-5528","1","0","4","","4670077","4b0e47bf-c36d-f111-ab0d-6045bd56e224","befae3b2-a48c-f111-8076-000d3a81e01c"
"66438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 20000-1:2018","2024-04-28 00:00:00.0000000","","2027-04-27 00:00:00.0000000","21","Schellman & Company","US-ITSM-2024-5528","1","0","4","","4670076","4b0e47bf-c36d-f111-ab0d-6045bd56e224","befae3b2-a48c-f111-8076-000d3a81e01c"
"64438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-11-15 00:00:00.0000000","","2028-11-14 00:00:00.0000000","21","Schellman & Company","US-QMS-2025-7712","1","0","4","","4670075","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bdfae3b2-a48c-f111-8076-000d3a81e01c"
"62438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-08-01 00:00:00.0000000","","2028-07-31 00:00:00.0000000","21","Schellman & Company","US-ISMS-2025-7712","1","0","4","","4670074","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bdfae3b2-a48c-f111-8076-000d3a81e01c"
"60438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 20000-1:2018","2025-06-27 00:00:00.0000000","","2028-06-26 00:00:00.0000000","21","Telarc New Zealand","NZ-ITSM-2025-2214","1","0","4","","4670073","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bcfae3b2-a48c-f111-8076-000d3a81e01c"
"5e438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-03-15 00:00:00.0000000","","2027-03-14 00:00:00.0000000","21","Telarc New Zealand","NZ-ISMS-2024-2214","1","0","4","","4670072","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bcfae3b2-a48c-f111-8076-000d3a81e01c"
"5c438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-12-21 00:00:00.0000000","","2028-12-20 00:00:00.0000000","21","SAI Global Australia","AU-QMS-2025-3382","1","0","4","","4670071","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bbfae3b2-a48c-f111-8076-000d3a81e01c"
"5a438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-05-27 00:00:00.0000000","","2028-05-26 00:00:00.0000000","21","SAI Global Australia","AU-ISMS-2025-3382","1","0","4","","4670070","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bbfae3b2-a48c-f111-8076-000d3a81e01c"
"58438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27701:2019","2025-07-09 00:00:00.0000000","","2028-07-08 00:00:00.0000000","21","SAI Global Australia","AU-PIMS-2025-6690","1","0","4","","4670069","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bafae3b2-a48c-f111-8076-000d3a81e01c"
"56438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2024-12-19 00:00:00.0000000","","2027-12-18 00:00:00.0000000","21","SAI Global Australia","AU-QMS-2024-6690","1","0","4","","4670068","4b0e47bf-c36d-f111-ab0d-6045bd56e224","bafae3b2-a48c-f111-8076-000d3a81e01c"
"54438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-03-15 00:00:00.0000000","","2028-03-14 00:00:00.0000000","21","TUV Nord Thailand","TH-QMS-2025-1130","1","0","4","","4670067","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b9fae3b2-a48c-f111-8076-000d3a81e01c"
"52438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-09-06 00:00:00.0000000","","2027-09-05 00:00:00.0000000","21","TUV Nord Thailand","TH-ISMS-2024-1130","1","0","4","","4670066","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b9fae3b2-a48c-f111-8076-000d3a81e01c"
"50438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-11-27 00:00:00.0000000","","2028-11-26 00:00:00.0000000","21","TUV Nord Thailand","TH-ISMS-2025-0447","1","0","4","","4670065","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b8fae3b2-a48c-f111-8076-000d3a81e01c"
"4e438a58-aa8c-f111-8076-002248eb7656","PCI DSS Level 1 Service Provider","2025-06-20 00:00:00.0000000","","2026-06-19 00:00:00.0000000","21","ControlCase APAC","PCI-L1-TH-2025-0447","1","0","4","","4670064","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b8fae3b2-a48c-f111-8076-000d3a81e01c"
"4c438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 20000-1:2018","2025-05-08 00:00:00.0000000","","2028-05-07 00:00:00.0000000","21","Bureau Veritas Vietnam","VN-ITSM-2025-8814","1","0","4","","4670063","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b7fae3b2-a48c-f111-8076-000d3a81e01c"
"4a438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-11-29 00:00:00.0000000","","2028-11-28 00:00:00.0000000","21","Bureau Veritas Vietnam","VN-ISMS-2025-8814","1","0","4","","4670062","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b7fae3b2-a48c-f111-8076-000d3a81e01c"
"48438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-09-01 00:00:00.0000000","","2028-08-31 00:00:00.0000000","21","Bureau Veritas Vietnam","VN-QMS-2025-3345","1","0","4","","4670061","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b6fae3b2-a48c-f111-8076-000d3a81e01c"
"46438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-02-24 00:00:00.0000000","","2027-02-23 00:00:00.0000000","21","Bureau Veritas Vietnam","VN-ISMS-2024-3345","1","0","4","","4670060","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b6fae3b2-a48c-f111-8076-000d3a81e01c"
"44438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-04-04 00:00:00.0000000","","2028-04-03 00:00:00.0000000","21","TUV Rheinland Philippines","PH-QMS-2025-5581","1","0","4","","4670059","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b5fae3b2-a48c-f111-8076-000d3a81e01c"
"42438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-10-11 00:00:00.0000000","","2028-10-10 00:00:00.0000000","21","TUV Rheinland Philippines","PH-ISMS-2025-5581","1","0","4","","4670058","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b5fae3b2-a48c-f111-8076-000d3a81e01c"
"40438a58-aa8c-f111-8076-002248eb7656","SOC 2 Type II","2025-10-02 00:00:00.0000000","","2026-10-01 00:00:00.0000000","21","KPMG Philippines","SOC2-2025-CBG-041","1","0","4","","4670057","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b4fae3b2-a48c-f111-8076-000d3a81e01c"
"3e438a58-aa8c-f111-8076-002248eb7656","PCI DSS Level 1 Service Provider","2025-05-17 00:00:00.0000000","","2026-05-16 00:00:00.0000000","21","ControlCase APAC","PCI-L1-PH-2025-0447","1","0","4","","4670056","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b4fae3b2-a48c-f111-8076-000d3a81e01c"
"3c438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2024-01-30 00:00:00.0000000","","2027-01-29 00:00:00.0000000","21","TUV Rheinland Philippines","PH-QMS-2024-1198","1","0","4","","4670055","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b4fae3b2-a48c-f111-8076-000d3a81e01c"
"3a438a58-aa8c-f111-8076-002248eb7656","CREST Accredited Penetration Testing","2025-08-19 00:00:00.0000000","","2027-08-18 00:00:00.0000000","21","CREST","CREST-PT-ID-7702","1","0","4","","4670054","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b3fae3b2-a48c-f111-8076-000d3a81e01c"
"38438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-04-14 00:00:00.0000000","","2028-04-13 00:00:00.0000000","21","SGS Indonesia","ID-ISMS-2025-7702","1","0","4","","4670053","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b3fae3b2-a48c-f111-8076-000d3a81e01c"
"36438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 20000-1:2018","2025-02-22 00:00:00.0000000","","2028-02-21 00:00:00.0000000","21","SGS Indonesia","ID-ITSM-2025-4471","1","0","4","","4670052","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b2fae3b2-a48c-f111-8076-000d3a81e01c"
"34438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-08-08 00:00:00.0000000","","2027-08-07 00:00:00.0000000","21","SGS Indonesia","ID-ISMS-2024-4471","1","0","4","","4670051","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b2fae3b2-a48c-f111-8076-000d3a81e01c"
"32438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-12-30 00:00:00.0000000","","2028-12-29 00:00:00.0000000","21","SIRIM QAS International","MY-QMS-2025-6613","1","0","4","","4670050","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b1fae3b2-a48c-f111-8076-000d3a81e01c"
"30438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-07-02 00:00:00.0000000","","2028-07-01 00:00:00.0000000","21","SIRIM QAS International","MY-ISMS-2025-6613","1","0","4","","4670049","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b1fae3b2-a48c-f111-8076-000d3a81e01c"
"2e438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-11-24 00:00:00.0000000","","2028-11-23 00:00:00.0000000","21","SIRIM QAS International","MY-QMS-2025-2298","1","0","4","","4670048","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b0fae3b2-a48c-f111-8076-000d3a81e01c"
"2c438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-05-21 00:00:00.0000000","","2027-05-20 00:00:00.0000000","21","SIRIM QAS International","MY-ISMS-2024-2298","1","0","4","","4670047","4b0e47bf-c36d-f111-ab0d-6045bd56e224","b0fae3b2-a48c-f111-8076-000d3a81e01c"
"2a438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-05-15 00:00:00.0000000","","2028-05-14 00:00:00.0000000","21","BSI Group Korea","KR-ISMS-2025-0091","1","0","4","","4670046","4b0e47bf-c36d-f111-ab0d-6045bd56e224","affae3b2-a48c-f111-8076-000d3a81e01c"
"28438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 42001:2023 AI Management System","2026-01-05 00:00:00.0000000","","2029-01-04 00:00:00.0000000","21","BSI Group Korea","KR-AIMS-2026-0091","1","0","4","","4670045","4b0e47bf-c36d-f111-ab0d-6045bd56e224","affae3b2-a48c-f111-8076-000d3a81e01c"
"26438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-07-28 00:00:00.0000000","","2028-07-27 00:00:00.0000000","21","Korean Foundation for Quality","KR-QMS-2025-3312","1","0","4","","4670044","4b0e47bf-c36d-f111-ab0d-6045bd56e224","aefae3b2-a48c-f111-8076-000d3a81e01c"
"24438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-10-08 00:00:00.0000000","","2027-10-07 00:00:00.0000000","21","Korean Foundation for Quality","KR-ISMS-2024-3312","1","0","4","","4670043","4b0e47bf-c36d-f111-ab0d-6045bd56e224","aefae3b2-a48c-f111-8076-000d3a81e01c"
"22438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-03-01 00:00:00.0000000","","2028-02-29 00:00:00.0000000","21","Japan Quality Assurance Organisation","JP-ISMS-2025-4470","1","0","4","","4670042","4b0e47bf-c36d-f111-ab0d-6045bd56e224","adfae3b2-a48c-f111-8076-000d3a81e01c"
"20438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-09-19 00:00:00.0000000","","2028-09-18 00:00:00.0000000","21","Japan Quality Assurance Organisation","JP-QMS-2025-4470","1","0","4","","4670041","4b0e47bf-c36d-f111-ab0d-6045bd56e224","adfae3b2-a48c-f111-8076-000d3a81e01c"
"1e438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27017:2015 Cloud Security","2025-12-13 00:00:00.0000000","","2028-12-12 00:00:00.0000000","21","Japan Quality Assurance Organisation","JP-CLOUD-2025-1187","1","0","4","","4670040","4b0e47bf-c36d-f111-ab0d-6045bd56e224","acfae3b2-a48c-f111-8076-000d3a81e01c"
"1c438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-06-11 00:00:00.0000000","","2027-06-10 00:00:00.0000000","21","Japan Quality Assurance Organisation","JP-ISMS-2024-1187","1","0","4","","4670039","4b0e47bf-c36d-f111-ab0d-6045bd56e224","acfae3b2-a48c-f111-8076-000d3a81e01c"
"1a438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-09-25 00:00:00.0000000","","2028-09-24 00:00:00.0000000","21","Bureau Veritas Taiwan","TW-ISMS-2025-2298","1","0","4","","4670038","4b0e47bf-c36d-f111-ab0d-6045bd56e224","abfae3b2-a48c-f111-8076-000d3a81e01c"
"18438a58-aa8c-f111-8076-002248eb7656","CMMI Level 4 (Development)","2025-03-31 00:00:00.0000000","","2028-03-30 00:00:00.0000000","21","ISACA CMMI Institute","CMMI-DEV-L4-TW-2298","1","0","4","","4670037","4b0e47bf-c36d-f111-ab0d-6045bd56e224","abfae3b2-a48c-f111-8076-000d3a81e01c"
"16438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27701:2019","2025-04-08 00:00:00.0000000","","2028-04-07 00:00:00.0000000","21","Hong Kong Quality Assurance Agency","HK-PIMS-2025-5528","1","0","4","","4670036","4b0e47bf-c36d-f111-ab0d-6045bd56e224","aafae3b2-a48c-f111-8076-000d3a81e01c"
"14438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-11-27 00:00:00.0000000","","2027-11-26 00:00:00.0000000","21","Hong Kong Quality Assurance Agency","HK-ISMS-2024-5528","1","0","4","","4670035","4b0e47bf-c36d-f111-ab0d-6045bd56e224","aafae3b2-a48c-f111-8076-000d3a81e01c"
"12438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2025-07-14 00:00:00.0000000","","2028-07-13 00:00:00.0000000","21","CQC China","CN-ISMS-2025-3391","1","0","4","","4670034","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a9fae3b2-a48c-f111-8076-000d3a81e01c"
"10438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-02-14 00:00:00.0000000","","2028-02-13 00:00:00.0000000","21","CQC China","CN-QMS-2025-3391","1","0","4","","4670033","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a9fae3b2-a48c-f111-8076-000d3a81e01c"
"0e438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 20000-1:2018","2025-10-19 00:00:00.0000000","","2028-10-18 00:00:00.0000000","21","CQC China","CN-ITSM-2025-6602","1","0","4","","4670032","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a8fae3b2-a48c-f111-8076-000d3a81e01c"
"0c438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-07-19 00:00:00.0000000","","2027-07-18 00:00:00.0000000","21","CQC China","CN-ISMS-2024-6602","1","0","4","","4670031","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a8fae3b2-a48c-f111-8076-000d3a81e01c"
"0a438a58-aa8c-f111-8076-002248eb7656","ISO 9001:2015","2025-05-06 00:00:00.0000000","","2028-05-05 00:00:00.0000000","21","PSQCA Pakistan","PK-QMS-2025-8871","1","0","4","","4670030","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a7fae3b2-a48c-f111-8076-000d3a81e01c"
"08438a58-aa8c-f111-8076-002248eb7656","ISO/IEC 27001:2022","2024-12-01 00:00:00.0000000","","2027-11-30 00:00:00.0000000","21","PSQCA Pakistan","PK-ISMS-2024-8871","1","0","4","","4670029","4b0e47bf-c36d-f111-ab0d-6045bd56e224","a7fae3b2-a48c-f111-8076-000d3a81e01c"
