new_aiextracted,new_country,new_hasactivecontract,new_headcount,new_headquarterslocation,importsequencenumber,new_industry,new_legalname,new_overview,new_sourcecitations,new_source,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,new_vendorid,new_vendorname,new_vendorstatus,versionnumber,new_websitedomain,owningbusinessunit,new_businessdomains,new_capabilities,new_regionaloperatingcapacity
True,Netherlands,False,350,Amsterdam,,Information Technology,Batavia Cloud Studio B.V.,Amsterdam cloud-native consultancy running SRE retainers for retail and government platforms.,"[""https://bataviacloudstudio.nl/over-ons"",""https://www.crunchbase.com/organization/batavia-cloud-studio""]",0,1,0,,,7cfae3b2-a48c-f111-8076-000d3a81e01c,Batavia Cloud Studio,Potential,4658458,bataviacloudstudio.nl,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Public Sector,Cloud Migration;DevOps Automation;Site Reliability Engineering,Netherlands;Belgium
False,Germany,False,260,Munich,,Cybersecurity,Bavarian Cyber Guard AG,Munich-based security testing firm serving DACH region automotive and banking clients.,,1,1,0,,,7bfae3b2-a48c-f111-8076-000d3a81e01c,Bavarian Cyber Guard,Registered,4658457,bavariancyberguard.de,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing;Financial Services,Cybersecurity Operations;Penetration Testing,Germany;Austria;Switzerland
True,United Kingdom,False,175,Belfast,,Telecommunications,Belfast Harbour Tech Ltd,Northern Irish network integrator supporting port authority and logistics connectivity upgrades.,"[""https://belfastharbourtech.co.uk/services"",""https://www.linkedin.com/company/belfast-harbour-tech""]",0,1,0,,,78fae3b2-a48c-f111-8076-000d3a81e01c,Belfast Harbour Tech,Potential,4658454,belfastharbourtech.co.uk,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Transport & Logistics;Public Sector,Network Infrastructure;Managed Services,United Kingdom;Ireland
True,Germany,False,420,Berlin,,Information Technology,Berliner Datenwerk GmbH,Berlin data engineering studio building smart-city analytics for municipal telecom infrastructure.,"[""https://berlinerdatenwerk.de/leistungen"",""https://www.linkedin.com/company/berliner-datenwerk""]",0,1,0,,,7afae3b2-a48c-f111-8076-000d3a81e01c,Berliner Datenwerk,Potential,4658456,berlinerdatenwerk.de,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Telecommunications,Data Engineering;Business Intelligence;Machine Learning,Germany;Poland
False,United States,False,640,Boston,,Consulting,Blue Harbor Consulting LLC,Boutique advisory firm supporting regulatory change and data governance programmes for New England financial institutions.,,1,1,0,,,68fae3b2-a48c-f111-8076-000d3a81e01c,Blue Harbor Consulting,Registered,4658438,blueharborconsulting.com,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Public Sector,Change Management;Data Governance;Business Intelligence,United States
True,Malaysia,False,130,Kota Kinabalu,,Professional Services,Borneo Rainforest Data Sdn Bhd,Kota Kinabalu analytics boutique supporting palm oil and energy sector ESG reporting.,"[""https://borneorainforestdata.my/about"",""https://www.linkedin.com/company/borneo-rainforest-data""]",0,1,0,,,b1fae3b2-a48c-f111-8076-000d3a81e01c,Borneo Rainforest Data,Potential,4658511,borneorainforestdata.my,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Energy & Utilities;Public Sector,Data Engineering;Business Intelligence,Malaysia;Brunei
True,Turkiye,False,380,Istanbul,,Financial Technology,Bosphorus Bridge IT A.S.,Istanbul fintech integrator connecting regional payment rails for retail lenders.,"[""https://bosphorusbridgeit.com.tr/hakkimizda"",""https://www.gartner.com/reviews/market/fintech-turkey""]",0,1,0,,,8cfae3b2-a48c-f111-8076-000d3a81e01c,Bosphorus Bridge IT,Potential,4658474,bosphorusbridgeit.com.tr,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Retail & Consumer,Integration & APIs;Machine Learning,Turkiye;Greece
False,South Korea,False,310,Busan,,Information Technology,Busan Port Digital Co Ltd,Busan systems integrator digitising port authority cargo tracking platforms.,,1,1,0,,,aefae3b2-a48c-f111-8076-000d3a81e01c,Busan Port Digital,Registered,4658508,busanportdigital.co.kr,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Transport & Logistics;Public Sector,Integration & APIs;Data Engineering,South Korea;Japan
True,South Africa,False,260,Cape Town,,Cybersecurity,Cape Winelands Cyber Pty Ltd,Cape Town security firm delivering identity modernisation for regional government and banks.,"[""https://capewinelandscyber.co.za/services"",""https://www.gartner.com/reviews/market/mssp-south-africa""]",0,1,0,,,9afae3b2-a48c-f111-8076-000d3a81e01c,Cape Winelands Cyber,Potential,4658488,capewinelandscyber.co.za,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Financial Services,Cybersecurity Operations;Identity & Access Management,South Africa;Namibia
True,Romania,False,260,Bucharest,,Information Technology,Carpathian Cloud Ops SRL,Bucharest managed cloud provider serving public-sector and energy clients across the Balkans.,"[""https://carpathiancloudops.ro/servicii"",""https://www.crunchbase.com/organization/carpathian-cloud-ops""]",0,1,0,,,8afae3b2-a48c-f111-8076-000d3a81e01c,Carpathian Cloud Ops,Potential,4658472,carpathiancloudops.ro,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Energy & Utilities,Cloud Migration;Managed Services,Romania;Bulgaria
True,Colombia,False,1250,Cartagena,,Business Process Outsourcing,Cartagena BPO Solutions SAS,Nearshore contact centre and back-office operator expanding automation-led services for US retail brands.,"[""https://cartagenabpo.com.co/en"",""https://www.linkedin.com/company/cartagena-bpo""]",0,1,0,,,6ffae3b2-a48c-f111-8076-000d3a81e01c,Cartagena BPO Solutions,Potential,4658445,cartagenabpo.com.co,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Financial Services,Managed Services;RPA;Document Intelligence,Colombia;Mexico;United States
True,United States,False,310,Seattle,,Information Technology,Cascade Robotics Inc,Applied robotics and RPA integrator serving Pacific Northwest manufacturers and logistics operators.,"[""https://cascaderobotics.com/about"",""https://www.linkedin.com/company/cascade-robotics""]",0,1,0,,,67fae3b2-a48c-f111-8076-000d3a81e01c,Cascade Robotics,Potential,4658437,cascaderobotics.com,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing;Transport & Logistics,RPA;Machine Learning;Application Development,United States;Canada
False,Sri Lanka,False,95,Colombo,,Professional Services,Ceylon Tea Analytics Pvt Ltd,Colombo analytics boutique supporting export supply-chain reporting for plantation groups.,,1,1,0,,,a6fae3b2-a48c-f111-8076-000d3a81e01c,Ceylon Tea Analytics,Registered,4658500,ceylonteaanalytics.lk,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Transport & Logistics,Data Engineering;Business Intelligence,Sri Lanka;Maldives
False,Thailand,False,260,Bangkok,,Financial Technology,Chao Phraya Fintech Co Ltd,Bangkok fintech studio building microlending scoring models for Mekong region lenders.,,1,1,0,,,b8fae3b2-a48c-f111-8076-000d3a81e01c,Chao Phraya Fintech,Registered,4658518,chaophrayafintech.co.th,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services,Application Development;Machine Learning,Thailand;Laos;Cambodia
True,Brazil,False,530,Rio de Janeiro,,Information Technology,Copacabana Cloud Partners Ltda,Rio-based managed cloud provider serving retail chains and telecom operators across the Mercosul region.,"[""https://copacabanacloud.com.br/servicos"",""https://www.linkedin.com/company/copacabana-cloud-partners""]",0,1,0,,,72fae3b2-a48c-f111-8076-000d3a81e01c,Copacabana Cloud Partners,Potential,4658448,copacabanacloud.com.br,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Telecommunications,Cloud Migration;Managed Services;Cybersecurity Operations,Brazil;Argentina
True,Malaysia,False,105,Kuching,,Professional Services,Coral Triangle Data Sdn Bhd,Kuching analytics boutique supporting offshore energy and maritime logistics reporting in Borneo waters.,"[""https://coraltriangledata.my/about"",""https://www.linkedin.com/company/coral-triangle-data""]",0,1,0,,,c9fae3b2-a48c-f111-8076-000d3a81e01c,Coral Triangle Data,Potential,4658535,coraltriangledata.my,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Energy & Utilities;Transport & Logistics,Data Engineering;Business Intelligence,Malaysia;Brunei;Indonesia
False,Philippines,False,2100,Baguio,,Business Process Outsourcing,Cordillera BPO Group Inc,Baguio outsourcing provider handling claims processing for retail and health insurance clients.,,1,1,0,,,b4fae3b2-a48c-f111-8076-000d3a81e01c,Cordillera BPO Group,Registered,4658514,cordillerabpo.ph,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Healthcare,Managed Services;RPA;Document Intelligence,Philippines;Australia
True,Austria,False,210,Vienna,,Information Technology,Danube Software House GmbH,Vienna software house building citizen services portals for Central European ministries.,"[""https://danubesoftwarehouse.at/leistungen"",""https://www.linkedin.com/company/danube-software-house""]",0,1,0,,,84fae3b2-a48c-f111-8076-000d3a81e01c,Danube Software House,Potential,4658466,danubesoftwarehouse.at,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Education,Application Development;Test Automation,Austria;Slovakia;Hungary
False,India,False,1650,Hyderabad,,Information Technology,Deccan Cloud Systems Pvt Ltd,Hyderabad cloud engineering house running SRE retainers for retail and manufacturing enterprises.,,1,1,0,,,a0fae3b2-a48c-f111-8076-000d3a81e01c,Deccan Cloud Systems,Registered,4658494,deccancloudsystems.in,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Manufacturing,Cloud Migration;DevOps Automation;Site Reliability Engineering,India;United Arab Emirates
False,Ukraine,False,340,Lviv,,Information Technology,Dnipro Digital Forge LLC,Lviv engineering house providing nearshore application development for European telecom clients.,,1,1,0,,,8bfae3b2-a48c-f111-8076-000d3a81e01c,Dnipro Digital Forge,Registered,4658473,dniprodigitalforge.com,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing;Telecommunications,Application Development;Test Automation,Ukraine;Poland
True,Qatar,False,170,Doha,,Professional Services,Doha Harbor Analytics WLL,Doha analytics consultancy supporting LNG logistics and port operations reporting.,"[""https://dohaharboranalytics.qa/insights"",""https://www.crunchbase.com/organization/doha-harbor-analytics""]",0,1,0,,,92fae3b2-a48c-f111-8076-000d3a81e01c,Doha Harbor Analytics,Potential,4658480,dohaharboranalytics.qa,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Energy & Utilities;Transport & Logistics,Data Engineering;Business Intelligence,Qatar;United Arab Emirates
True,Ireland,False,310,Dublin,,Professional Services,Dublin Bay Analytics DAC,Dublin analytics house building regulatory data marts for financial services and health insurers.,"[""https://dublinbayanalytics.ie/insights"",""https://www.crunchbase.com/organization/dublin-bay-analytics""]",0,1,0,,,76fae3b2-a48c-f111-8076-000d3a81e01c,Dublin Bay Analytics,Potential,4658452,dublinbayanalytics.ie,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Healthcare,Data Engineering;Business Intelligence;Data Governance,Ireland;United Kingdom
False,Norway,False,260,Bergen,,Information Technology,Fjord Line Cloud AS,Bergen-based cloud provider supporting offshore energy and maritime logistics operators.,,1,1,0,,,85fae3b2-a48c-f111-8076-000d3a81e01c,Fjord Line Cloud,Registered,4658467,fjordlinecloud.no,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Energy & Utilities;Transport & Logistics,Cloud Migration;Data Engineering,Norway;Sweden
False,Belgium,False,230,Antwerp,,Information Technology,Flanders Field Robotics NV,Antwerp port-logistics automation vendor building warehouse robotics orchestration software.,,1,1,0,,,7dfae3b2-a48c-f111-8076-000d3a81e01c,Flanders Field Robotics,Registered,4658459,flandersfieldrobotics.be,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing;Transport & Logistics,RPA;Application Development;Machine Learning,Belgium;Netherlands;France
False,Canada,False,260,Vancouver,,Telecommunications,Fraser Valley Networks Ltd,Western Canadian network integrator providing managed WAN and edge connectivity for logistics hubs.,,1,1,0,,,6cfae3b2-a48c-f111-8076-000d3a81e01c,Fraser Valley Networks,Registered,4658442,fraservalleynetworks.ca,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Telecommunications;Transport & Logistics,Network Infrastructure;Managed Services,Canada
False,Japan,False,260,Osaka,,Software Publishing,Fuji Cloud Innovations KK,Osaka cloud product studio shipping conversational commerce tools for retail brands.,,1,1,0,,,acfae3b2-a48c-f111-8076-000d3a81e01c,Fuji Cloud Innovations,Registered,4658506,fujicloudinnovations.co.jp,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Telecommunications,Cloud Migration;Conversational AI,Japan;South Korea
False,Israel,False,210,Tel Aviv,,Cybersecurity,Galilee Cyber Works Ltd,Tel Aviv security research firm offering penetration testing for regional banks and telcos.,,1,1,0,,,93fae3b2-a48c-f111-8076-000d3a81e01c,Galilee Cyber Works,Registered,4658481,galileecyberworks.co.il,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Telecommunications,Cybersecurity Operations;Penetration Testing;Identity & Access Management,Israel;Cyprus
True,India,False,890,Kolkata,,Information Technology,Ganges Data Foundry Pvt Ltd,Kolkata data platform vendor building governed lakehouses for regional banks and hospital groups.,"[""https://gangesdatafoundry.in/solutions"",""https://www.linkedin.com/company/ganges-data-foundry""]",0,1,0,,,a1fae3b2-a48c-f111-8076-000d3a81e01c,Ganges Data Foundry,Potential,4658495,gangesdatafoundry.in,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Healthcare,Data Engineering;Business Intelligence;Data Governance,India;Bangladesh
True,Turkiye,False,220,Izmir,,Information Technology,Golden Horn Cloud A.S.,Izmir cloud provider serving retail chains and telecom operators across the Aegean region.,"[""https://goldenhorncloud.com.tr/hakkinda"",""https://www.linkedin.com/company/golden-horn-cloud""]",0,1,0,,,c7fae3b2-a48c-f111-8076-000d3a81e01c,Golden Horn Cloud,Potential,4658533,goldenhorncloud.com.tr,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Telecommunications,Cloud Migration;Managed Services,Turkiye;Greece
False,United States,False,780,Chicago,,Professional Services,Great Lakes ERP Partners LLC,Midwest SAP and Oracle implementation partner focused on discrete manufacturing clients.,,1,1,0,,,6afae3b2-a48c-f111-8076-000d3a81e01c,Great Lakes ERP Partners,Registered,4658440,greatlakeserp.com,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing,ERP Implementation;Change Management;Integration & APIs,United States
True,United States,False,180,Omaha,,Professional Services,Great Plains Data Bureau LLC,Omaha analytics bureau supporting agricultural and utilities data modernisation for Midwest agencies.,"[""https://greatplainsdatabureau.com/about"",""https://www.linkedin.com/company/great-plains-data-bureau""]",0,1,0,,,bdfae3b2-a48c-f111-8076-000d3a81e01c,Great Plains Data Bureau,Potential,4658523,greatplainsdatabureau.com,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Energy & Utilities,Data Engineering;Business Intelligence,United States
True,Brazil,False,260,Rio de Janeiro,,Financial Technology,Guanabara Fintech Labs Ltda,Rio fintech studio building credit-risk models for regional digital banks.,"[""https://guanabarafintechlabs.com.br/sobre"",""https://www.crunchbase.com/organization/guanabara-fintech-labs""]",0,1,0,,,c5fae3b2-a48c-f111-8076-000d3a81e01c,Guanabara Fintech Labs,Potential,4658531,guanabarafintechlabs.com.br,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services,Application Development;Machine Learning,Brazil;Uruguay
True,Vietnam,False,210,Haiphong,,Information Technology,Halong Bay Cloud Works JSC,Haiphong cloud provider serving telecom and retail clients across northern Vietnam.,"[""https://halongbaycloudworks.vn/en"",""https://www.linkedin.com/company/halong-bay-cloud-works""]",0,1,0,,,b7fae3b2-a48c-f111-8076-000d3a81e01c,Halong Bay Cloud Works,Potential,4658517,halongbaycloudworks.vn,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Telecommunications;Retail & Consumer,Cloud Migration;Managed Services,Vietnam;China
True,United Kingdom,False,190,Edinburgh,,Cybersecurity,Highland Security Partners Ltd,Edinburgh-based security testing firm serving Scottish public sector and energy operators.,"[""https://highlandsecuritypartners.co.uk/about"",""https://www.linkedin.com/company/highland-security-partners""]",0,1,0,,,74fae3b2-a48c-f111-8076-000d3a81e01c,Highland Security Partners,Potential,4658450,highlandsecuritypartners.co.uk,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Energy & Utilities,Cybersecurity Operations;Penetration Testing;Identity & Access Management,United Kingdom
False,South Africa,False,410,Johannesburg,,Information Technology,Highveld Managed Services Pty Ltd,Johannesburg managed IT provider supporting mining and utilities operations across Southern Africa.,,1,1,0,,,9bfae3b2-a48c-f111-8076-000d3a81e01c,Highveld Managed Services,Registered,4658489,highveldmanaged.co.za,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing;Energy & Utilities,Managed Services;Network Infrastructure,South Africa;Botswana;Zambia
True,Japan,False,140,Sapporo,,Engineering Services,Hokkaido Field Systems Co Ltd,Sapporo engineering firm maintaining rural network infrastructure for utilities and logistics clients.,"[""https://hokkaidofieldsystems.co.jp/en/about"",""https://www.linkedin.com/company/hokkaido-field-systems""]",0,1,0,,,adfae3b2-a48c-f111-8076-000d3a81e01c,Hokkaido Field Systems,Potential,4658507,hokkaidofieldsystems.co.jp,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Energy & Utilities;Transport & Logistics,Network Infrastructure;Managed Services,Japan
False,Pakistan,False,220,Lahore,,Telecommunications,Indus Valley Networks Pvt Ltd,Lahore network integrator supporting telecom backbone and government connectivity projects.,,1,1,0,,,a4fae3b2-a48c-f111-8076-000d3a81e01c,Indus Valley Networks,Registered,4658498,indusvalleynetworks.com.pk,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Telecommunications;Public Sector,Network Infrastructure;Managed Services,Pakistan;Afghanistan
True,United States,False,220,Austin,,Cybersecurity,Ironclad Cyber Defense Inc,Managed security provider offering continuous penetration testing and identity modernisation for critical infrastructure operators.,"[""https://ironcladcyberdefense.com/services"",""https://www.gartner.com/reviews/market/mssp-north-america""]",0,1,0,,,69fae3b2-a48c-f111-8076-000d3a81e01c,Ironclad Cyber Defense,Potential,4658439,ironcladcyberdefense.com,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Energy & Utilities,Cybersecurity Operations;Penetration Testing;Identity & Access Management,United States;Canada;Mexico
False,Taiwan,False,480,Taichung,,Information Technology,Jade Mountain Robotics Co Ltd,Taichung automation vendor deploying precision-manufacturing robotics orchestration.,,1,1,0,,,c8fae3b2-a48c-f111-8076-000d3a81e01c,Jade Mountain Robotics,Registered,4658534,jademountainrobotics.tw,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Manufacturing,RPA;Machine Learning,Taiwan;China
True,South Korea,False,190,Seoul,,Software Publishing,Jeju Conversational Labs Inc,Seoul AI product house building multilingual conversational agents for retail and health clients.,"[""https://jejuconversationallabs.co.kr/en"",""https://www.crunchbase.com/organization/jeju-conversational-labs""]",0,1,0,,,affae3b2-a48c-f111-8076-000d3a81e01c,Jeju Conversational Labs,Potential,4658509,jejuconversationallabs.co.kr,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Retail & Consumer;Healthcare,Conversational AI;Machine Learning,South Korea
True,Pakistan,False,180,Islamabad,,Professional Services,Karakoram Systems Group Pvt Ltd,Islamabad ERP integrator supporting federal ministry finance transformation.,"[""https://karakoramsystems.com.pk/services"",""https://www.linkedin.com/company/karakoram-systems-group""]",0,1,0,,,a7fae3b2-a48c-f111-8076-000d3a81e01c,Karakoram Systems Group,Potential,4658501,karakoramsystems.com.pk,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Energy & Utilities,ERP Implementation;Managed Services,Pakistan
False,Slovenia,False,95,Ljubljana,,Information Technology,Karst Plateau Software d.o.o.,Ljubljana software vendor connecting manufacturing ERP systems for Alpine-Adriatic clients.,,1,1,0,,,c2fae3b2-a48c-f111-8076-000d3a81e01c,Karst Plateau Software,Registered,4658528,karstplateausoftware.si,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Public Sector;Manufacturing,Application Development;Integration & APIs,Slovenia;Croatia;Austria
True,Tanzania,False,130,Dar es Salaam,,Information Technology,Kilimanjaro Cloud Base Ltd,Dar es Salaam cloud consultancy supporting logistics and mining sector data platforms.,"[""https://kilimanjarocloudbase.co.tz/services"",""https://www.linkedin.com/company/kilimanjaro-cloud-base""]",0,1,0,,,9efae3b2-a48c-f111-8076-000d3a81e01c,Kilimanjaro Cloud Base,Potential,4658492,kilimanjarocloudbase.co.tz,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Transport & Logistics;Energy & Utilities,Cloud Migration;Data Engineering,Tanzania;Kenya
False,Hong Kong SAR,False,160,Hong Kong,,Consulting,Kowloon Bay Advisory Ltd,Hong Kong advisory boutique supporting regulatory reporting transformation for regional banks.,,1,1,0,,,aafae3b2-a48c-f111-8076-000d3a81e01c,Kowloon Bay Advisory,Registered,4658504,kowloonbayadvisory.hk,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services,Data Governance;Change Management,Hong Kong SAR;China
False,Nigeria,False,340,Lagos,,Financial Technology,Lagos Lagoon Tech Ltd,Lagos fintech integrator connecting mobile money rails for West African retailers.,,1,1,0,,,99fae3b2-a48c-f111-8076-000d3a81e01c,Lagos Lagoon Tech,Registered,4658487,lagoslagoontech.ng,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Financial Services;Retail & Consumer,Application Development;Integration & APIs,Nigeria;Ghana
False,Portugal,False,180,Lisbon,,Information Technology,Lisboa Cloud Bridge Lda,Lisbon systems integrator connecting legacy telecom billing systems to cloud platforms.,,1,1,0,,,81fae3b2-a48c-f111-8076-000d3a81e01c,Lisboa Cloud Bridge,Registered,4658463,lisboacloudbridge.pt,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Telecommunications;Public Sector,Cloud Migration;Integration & APIs,Portugal;Spain
False,France,False,340,Nantes,,Engineering Services,Loire Valley Engineering SAS,Nantes engineering firm supporting aerospace supplier software assurance programmes.,,1,1,0,,,c0fae3b2-a48c-f111-8076-000d3a81e01c,Loire Valley Engineering,Registered,4658526,loirevalleyengineering.fr,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Aviation;Manufacturing,Application Development;Site Reliability Engineering,France;Spain
True,France,False,1120,Toulouse,,Engineering Services,Lumiere Ingenierie SAS,"Toulouse aerospace software engineering firm with safety-critical development experience, surfaced again through external market discovery.","[""https://lumiere-ing.fr/en/about"",""https://www.linkedin.com/company/lumiere-ingenierie""]",0,1,0,,,a56ec1b0-a48c-f111-8076-000d3a80923d,Lumière Ingénierie,Registered,4658403,lumiere-ing.fr,4b0e47bf-c36d-f111-ab0d-6045bd56e224,Aviation;Manufacturing,Site Reliability Engineering;DevOps Automation;Application Development,France;Spain
